Date,resid
2006-12-12,-0.027937345482024395
2006-12-13,-0.029198320323732242
2006-12-14,-0.03025673370810669
2006-12-15,-0.031464761913549105
2006-12-18,-0.03281362584471317
2006-12-19,-0.03394619673224449
2006-12-20,-0.03496714148702755
2006-12-21,-0.036452147126149775
2006-12-22,-0.03707877605171455
2006-12-26,-0.03801274501952093
2006-12-27,-0.03853036395965816
2006-12-28,-0.03859369232138233
2006-12-29,-0.0386865172867123
2007-01-03,-0.03921658296345482
2007-01-04,-0.040361724295016645
2007-01-05,-0.040984919174142896
2007-01-08,-0.04144279887044754
2007-01-09,-0.041837082222479116
2007-01-10,-0.04185737797409864
2007-01-11,-0.04141545969875207
2007-01-12,-0.040374384600578184
2007-01-16,-0.03961731199450933
2007-01-17,-0.0384226147950584
2007-01-18,-0.03780841645209696
2007-01-19,-0.03666174525526385
2007-01-22,-0.035807434131812726
2007-01-23,-0.034554892195217374
2007-01-24,-0.03312234466131382
2007-01-25,-0.031070323544357348
2007-01-26,-0.028989983714571933
2007-01-29,-0.026876288029445687
2007-01-30,-0.025185972856771963
2007-01-31,-0.02393802427177035
2007-02-01,-0.022536295613398073
2007-02-02,-0.021443370340100503
2007-02-05,-0.020477963217670786
2007-02-06,-0.020003892257656974
2007-02-07,-0.019803009141021143
2007-02-08,-0.01995691757914559
2007-02-09,-0.019523759137174572
2007-02-12,-0.01921933101925937
2007-02-13,-0.018933512501995535
2007-02-14,-0.019306386354088594
2007-02-15,-0.019896712192117937
2007-02-16,-0.020885252464342544
2007-02-20,-0.021806089747344652
2007-02-21,-0.022624060090772988
2007-02-22,-0.023028701449688833
2007-02-23,-0.024079419349592703
2007-02-26,-0.025196251880075387
2007-02-27,-0.02733320172975232
2007-02-28,-0.028682448458606194
2007-03-01,-0.030391560734844503
2007-03-02,-0.032528153448859655
2007-03-05,-0.03465682430268436
2007-03-06,-0.03648242669317567
2007-03-07,-0.038439698620596534
2007-03-08,-0.040098182546316294
2007-03-09,-0.04121771079955546
2007-03-12,-0.04269459523248874
2007-03-13,-0.04442675487238945
2007-03-14,-0.045782912662084514
2007-03-15,-0.04705636445286499
2007-03-16,-0.048479466639547886
2007-03-19,-0.04922661230018087
2007-03-20,-0.05012655261503001
2007-03-21,-0.05096876984339465
2007-03-22,-0.051384115765475816
2007-03-23,-0.051590884182680576
2007-03-26,-0.0516007347951256
2007-03-27,-0.05162198162993935
2007-03-28,-0.051777699494423526
2007-03-29,-0.051859901586904934
2007-03-30,-0.05205843790487531
2007-04-02,-0.05235714969079476
2007-04-03,-0.05245907442037312
2007-04-04,-0.05266067171745311
2007-04-05,-0.0526474084622559
2007-04-09,-0.051833464940204466
2007-04-10,-0.05121994975745215
2007-04-11,-0.05053692641549255
2007-04-12,-0.04996513504014474
2007-04-13,-0.04923098653415444
2007-04-16,-0.04872098660366034
2007-04-17,-0.048640171855004834
2007-04-18,-0.048865821059558674
2007-04-19,-0.04890400636027471
2007-04-20,-0.04890782698855159
2007-04-23,-0.0492092255953429
2007-04-24,-0.04978126221023586
2007-04-25,-0.050117553394266386
2007-04-26,-0.05011110001757315
2007-04-27,-0.05007869014886002
2007-04-30,-0.05059767870927783
2007-05-01,-0.05092577608421865
2007-05-02,-0.05133709701214382
2007-05-03,-0.051423806773441744
2007-05-04,-0.0517724799361732
2007-05-07,-0.05226166289689282
2007-05-08,-0.052370834134564906
2007-05-09,-0.0522022834212276
2007-05-10,-0.05232291356151983
2007-05-11,-0.05201276312573457
2007-05-14,-0.05154368493549828
2007-05-15,-0.051117665258064965
2007-05-16,-0.05044586493538541
2007-05-17,-0.04936684551441439
2007-05-18,-0.04786179440676209
2007-05-21,-0.0465957651193115
2007-05-22,-0.0447439593698486
2007-05-23,-0.04269823809126013
2007-05-24,-0.04077295699737308
2007-05-25,-0.03863737064757202
2007-05-29,-0.036206544280605456
2007-05-30,-0.03402966663737448
2007-05-31,-0.03161390653908793
2007-06-01,-0.028845428400267888
2007-06-04,-0.026395166232172265
2007-06-05,-0.023220199440212277
2007-06-06,-0.020349161807039957
2007-06-07,-0.015724255968538468
2007-06-08,-0.011487449097529547
2007-06-11,-0.006821944668839608
2007-06-12,-0.0012330278811462465
2007-06-13,0.003279263640188348
2007-06-14,0.007982744754462617
2007-06-15,0.01214920415155826
2007-06-18,0.01601428931630279
2007-06-19,0.019267286599737404
2007-06-20,0.02308140515074914
2007-06-21,0.027252380587962213
2007-06-22,0.030930970735740446
2007-06-25,0.034227102433464524
2007-06-26,0.03751503907579473
2007-06-27,0.04081432898056199
2007-06-28,0.044329493560984375
2007-06-29,0.03989702304680006
2007-07-02,0.042414512700557
2007-07-03,0.04568530776021904
2007-07-05,0.050096636410385496
2007-07-06,0.05481915334271788
2007-07-09,0.0590235170403418
2007-07-10,0.062200734051449415
2007-07-11,0.059149380642710185
2007-07-12,0.06354654275861307
2007-07-13,0.06747672474746536
2007-07-16,0.07105199954062452
2007-07-17,0.07480308873010713
2007-07-18,0.07841863416836434
2007-07-19,0.0819082375184127
2007-07-20,0.08470689615522331
2007-07-23,0.08766843595183263
2007-07-24,0.09027510415374052
2007-07-25,0.09283349618576175
2007-07-26,0.09451819783676389
2007-07-27,0.0958762358608997
2007-07-30,0.09773958340592895
2007-07-31,0.0992465712916517
2007-08-01,0.10139218956587517
2007-08-02,0.10337346630721786
2007-08-03,0.10441344368569694
2007-08-06,0.1059411284871701
2007-08-07,0.10792228523346557
2007-08-08,0.11090676793602626
2007-08-09,0.11294445074118167
2007-08-10,0.11520492736042051
2007-08-13,0.11717302895645657
2007-08-14,0.11888980346332881
2007-08-15,0.12078971644192363
2007-08-16,0.12239408105496417
2007-08-17,0.1240279489148646
2007-08-20,0.12489766196259541
2007-08-21,0.12549143022835613
2007-08-22,0.126469297691907
2007-08-23,0.1273708072544593
2007-08-24,0.12793085014321348
2007-08-27,0.12811064330317498
2007-08-28,0.12778688821044257
2007-08-29,0.12796343953119108
2007-08-30,0.12778681695692456
2007-08-31,0.12782841628849695
2007-09-04,0.1281899382090871
2007-09-05,0.12767067363720608
2007-09-06,0.12777393754959557
2007-09-07,0.12670767854122694
2007-09-10,0.12517294351088623
2007-09-11,0.12398082141165905
2007-09-12,0.12320370386202115
2007-09-13,0.12299763237702435
2007-09-14,0.1227122022337825
2007-09-17,0.12256298762889872
2007-09-18,0.12248238013129353
2007-09-19,0.12335566493961728
2007-09-20,0.12615048124268297
2007-09-21,0.12811628494898525
2007-09-24,0.1302258852978908
2007-09-25,0.13193829250745098
2007-09-26,0.13349509017735328
2007-09-27,0.13442475735001003
2007-09-28,0.13563559898782557
2007-10-01,0.1365935173484539
2007-10-02,0.13729304343607812
2007-10-03,0.13822425358803736
2007-10-04,0.1390510818054036
2007-10-05,0.14090512295611302
2007-10-08,0.14286969590582438
2007-10-09,0.14482642279254546
2007-10-10,0.14678920543086496
2007-10-11,0.1485508005959938
2007-10-12,0.1505131787086506
2007-10-15,0.15237925932405313
2007-10-16,0.15379504963832913
2007-10-17,0.1540778401565124
2007-10-18,0.15354471576416606
2007-10-19,0.1519922796675667
2007-10-22,0.1506145481493493
2007-10-23,0.14943937093836857
2007-10-24,0.14761089682514225
2007-10-25,0.1459388273921716
2007-10-26,0.14472799112421347
2007-10-29,0.14367103891361035
2007-10-30,0.14298320264849101
2007-10-31,0.143072349754574
2007-11-01,0.14185950063676556
2007-11-02,0.14045771835057402
2007-11-05,0.139289502397544
2007-11-06,0.13840278325033514
2007-11-07,0.1368450941516063
2007-11-08,0.13514630348583753
2007-11-09,0.13289769782514807
2007-11-12,0.13078663843914154
2007-11-13,0.12929129580893875
2007-11-14,0.12756638610319512
