Date,resid
2006-12-05,-0.2980759492929391
2006-12-06,-0.29416846920321327
2006-12-07,-0.29476083739442316
2006-12-08,-0.29431569345722575
2006-12-11,-0.29784114611042367
2006-12-12,-0.3036421648439835
2006-12-13,-0.30884804705530744
2006-12-14,-0.30237396372083186
2006-12-15,-0.2996684287540971
2006-12-18,-0.2959165344041975
2006-12-19,-0.2845726698138198
2006-12-20,-0.27215142185445906
2006-12-21,-0.2704616837981955
2006-12-22,-0.2768065904507709
2006-12-26,-0.2829674853915797
2006-12-27,-0.28479632706056013
2006-12-28,-0.2841492772235734
2006-12-29,-0.2906419147023468
2007-01-03,-0.30289503420760955
2007-01-04,-0.3152561239222569
2007-01-05,-0.34240735726322924
2007-01-08,-0.36708613709502913
2007-01-09,-0.38960617833749933
2007-01-10,-0.4070728463899773
2007-01-11,-0.41556328871641146
2007-01-12,-0.4202409344160053
2007-01-16,-0.4257105292722104
2007-01-17,-0.4264341174592441
2007-01-18,-0.43681580884573223
2007-01-19,-0.4468064201052906
2007-01-22,-0.4575724631341249
2007-01-23,-0.4562938761322499
2007-01-24,-0.43754374258497575
2007-01-25,-0.432863952661243
2007-01-26,-0.4351764099342641
2007-01-29,-0.44669795206556195
2007-01-30,-0.45819129585444696
2007-01-31,-0.459026430612163
2007-02-01,-0.46268861493322455
2007-02-02,-0.47624561562754764
2007-02-05,-0.4958005997463777
2007-02-06,-0.523925796804527
2007-02-07,-0.545982795015767
2007-02-08,-0.5705035643884825
2007-02-09,-0.5925061490787559
2007-02-12,-0.6181850659949177
2007-02-13,-0.6348579700128463
2007-02-14,-0.6340048294583724
2007-02-15,-0.6242508959749554
2007-02-16,-0.6130678331169401
2007-02-20,-0.6057387786794329
2007-02-21,-0.6088725459015395
2007-02-22,-0.6058985581304567
2007-02-23,-0.6085801104491412
2007-02-26,-0.6030283581416636
2007-02-27,-0.6348900677558668
2007-02-28,-0.6413832876164148
2007-03-01,-0.6629861136534049
2007-03-02,-0.691466559382326
2007-03-05,-0.7082284963803699
2007-03-06,-0.7174282715059034
2007-03-07,-0.7156450564030403
2007-03-08,-0.7063433362950358
2007-03-09,-0.6880084338205196
2007-03-12,-0.6749452772622224
2007-03-13,-0.6713702584084972
2007-03-14,-0.6605797228651971
2007-03-15,-0.6558815807072859
2007-03-16,-0.6670759437184887
2007-03-19,-0.6728448208997975
2007-03-20,-0.6746210545765479
2007-03-21,-0.6702327149103503
2007-03-22,-0.6687160672485031
2007-03-23,-0.6619648630367595
2007-03-26,-0.6641020331140122
2007-03-27,-0.6722177955196454
2007-03-28,-0.6977482267842477
2007-03-29,-0.7277186854819011
2007-03-30,-0.7633165107339153
2007-04-02,-0.8043522586626324
2007-04-03,-0.8308153235261571
2007-04-04,-0.8532510129394424
2007-04-05,-0.8760694674009168
2007-04-09,-0.9026448050107151
2007-04-10,-0.9315764668964682
2007-04-11,-0.9614875690120532
2007-04-12,-0.9870924574538967
2007-04-13,-1.0082802061525868
2007-04-16,-1.0181166446451604
2007-04-17,-1.0250046804556618
2007-04-18,-1.0347251912841822
2007-04-19,-1.042792988419429
2007-04-20,-1.043294547458848
2007-04-23,-1.049188279842816
2007-04-24,-1.0522701254992024
2007-04-25,-1.0424809851065697
2007-04-26,-1.0240073997373538
2007-04-27,-1.0045074061323442
2007-04-30,-0.9907494086393723
2007-05-01,-0.9728452305444255
2007-05-02,-0.954022016073998
2007-05-03,-0.9276459524633935
2007-05-04,-0.898338193344782
2007-05-07,-0.8708129918871075
2007-05-08,-0.8422431468379377
2007-05-09,-0.8007517398988744
2007-05-10,-0.768588275991732
2007-05-11,-0.72786205824215
2007-05-14,-0.6850892155424115
2007-05-15,-0.6369132841648898
2007-05-16,-0.5795743347422699
2007-05-17,-0.530241506532469
2007-05-18,-0.47740249853330774
2007-05-21,-0.43316724140768526
2007-05-22,-0.38432265188127623
2007-05-23,-0.33730758810266337
2007-05-24,-0.2997330651154513
2007-05-25,-0.2587948209677164
2007-05-29,-0.2165501719566809
2007-05-30,-0.1674960492529298
2007-05-31,-0.1144256553344852
2007-06-01,-0.06063418181731729
2007-06-04,-0.0008678959217743587
2007-06-05,0.0512272548166145
2007-06-06,0.08908803833235829
2007-06-07,0.10639275934807346
2007-06-08,0.13791548203078252
2007-06-11,0.17133509762154497
2007-06-12,0.19615911715063516
2007-06-13,0.24171581118093266
2007-06-14,0.29801140290467404
2007-06-15,0.36678223845050145
2007-06-18,0.4246743889285093
2007-06-19,0.481778835757136
2007-06-20,0.5269058987004978
2007-06-21,0.5715297923313898
2007-06-22,0.5994733705434432
2007-06-25,0.6248702865861672
2007-06-26,0.6360613225817162
2007-06-27,0.6576578458329545
2007-06-28,0.6750566373647163
2007-06-29,0.7141398494426383
2007-07-02,0.7472170952073934
2007-07-03,0.7877405116677786
2007-07-05,0.8228866978647436
2007-07-06,0.8581000212762859
2007-07-09,0.8916256972051152
2007-07-10,0.9150291895251901
2007-07-11,0.8823809357351614
2007-07-12,0.9409386057907533
2007-07-13,1.0057690295544908
2007-07-16,1.0841658802149128
2007-07-17,1.1639519077265945
2007-07-18,1.2376781076025145
2007-07-19,1.319420478230641
2007-07-20,1.380948444552549
2007-07-23,1.4476970045341262
2007-07-24,1.4912388819594986
2007-07-25,1.5358016707629243
2007-07-26,1.5528663471396214
2007-07-27,1.5468799929313444
2007-07-30,1.547900400008752
2007-07-31,1.5409685721855089
2007-08-01,1.5439064628234591
2007-08-02,1.5614033417482935
2007-08-03,1.5596854286911068
2007-08-06,1.5765968565210917
2007-08-07,1.600002689207794
2007-08-08,1.629265087835589
2007-08-09,1.6314952407297492
2007-08-10,1.6224476887107642
2007-08-13,1.614690140209325
2007-08-14,1.5886035920892951
2007-08-15,1.5445098976260467
2007-08-16,1.5045462478822649
2007-08-17,1.4769813953972752
2007-08-20,1.4546947979227938
2007-08-21,1.4292193362517522
2007-08-22,1.4187241930505716
2007-08-23,1.4089360322652762
2007-08-24,1.4096631229537475
2007-08-27,1.406035023231938
2007-08-28,1.3773961347989077
2007-08-29,1.37407220097532
2007-08-30,1.3695540906869643
2007-08-31,1.3761127835548819
2007-09-04,1.3929661100568416
2007-09-05,1.3964402532976374
2007-09-06,1.4121474596534882
2007-09-07,1.414248967926134
2007-09-10,1.4083297704540816
2007-09-11,1.4211332590001349
2007-09-12,1.429495160395779
2007-09-13,1.4433953423688242
2007-09-14,1.4721200189012265
2007-09-17,1.5006195616098572
2007-09-18,1.5622266945332044
2007-09-19,1.630186441021713
2007-09-20,1.6923266604694844
2007-09-21,1.7631136171666844
2007-09-24,1.8406789939237607
2007-09-25,1.9159926400017024
2007-09-26,1.9941887753037932
2007-09-27,2.0807579067643776
2007-09-28,2.1638227958093847
2007-10-01,2.259654455457015
2007-10-02,2.344783914757834
2007-10-03,2.423321195292281
2007-10-04,2.502133058937247
2007-10-05,2.5884382371937003
2007-10-08,2.665007657700889
2007-10-09,2.7586204025630208
2007-10-10,2.849463385359045
2007-10-11,2.929090126132104
2007-10-12,3.0123306532763583
2007-10-15,3.084165440559565
2007-10-16,3.144726462007439
2007-10-17,3.2104383254057645
2007-10-18,3.261236040796567
2007-10-19,3.271860784292767
2007-10-22,3.2908104570483916
2007-10-23,3.3222000090951913
2007-10-24,3.352028922283656
2007-10-25,3.3735299975631743
2007-10-26,3.402718833686984
2007-10-29,3.4356420779545194
2007-10-30,3.4601884275380588
2007-10-31,3.490045283855932
2007-11-01,3.491245243802407
2007-11-02,3.486956004166809
2007-11-05,3.4798193072145143
2007-11-06,3.4793065019288765
2007-11-07,3.4458080421192347
2007-11-08,3.3973251333773855
2007-11-09,3.3251177617176317
2007-11-12,3.2498779314616626
2007-11-13,3.2007578030936052
2007-11-14,3.1538953608851337
2007-11-15,3.098355923993886
2007-11-16,3.0545968575743627
2007-11-19,2.99134297373996
2007-11-20,2.9395300581995447
2007-11-21,2.8631181959434526
2007-11-23,2.8042772721834504
2007-11-26,2.7331777569125517
2007-11-27,2.6883242116534776
2007-11-28,2.6772658554612985
2007-11-29,2.659810445209418
2007-11-30,2.6497210793144577
2007-12-03,2.628208071453984
2007-12-04,2.5990444476565644
2007-12-05,2.5903865957815766
2007-12-06,2.5920942856777507
2007-12-07,2.5975970417834398
2007-12-10,2.6136207758364227
2007-12-11,2.603958875688527
2007-12-12,2.599153263185221
2007-12-13,2.5964758322091672
2007-12-14,2.58600369670345
2007-12-17,2.562821407755721
2007-12-18,2.5413061629671394
2007-12-19,2.518880269241198
2007-12-20,2.4946899698360747
2007-12-21,2.4831089751646847
2007-12-24,2.48667334101005
2007-12-26,2.4896667865766506
2007-12-27,2.4705152383036184
2007-12-28,2.448265569569582
2007-12-31,2.4140998986246105
2008-01-02,2.3612604253869165
2008-01-03,2.314600279713292
2008-01-04,2.245972951481664
2008-01-07,2.182101569949852
2008-01-08,2.0960641869837766
2008-01-09,2.023020394662991
2008-01-10,1.9658172228418853
2008-01-11,1.8880873372878324
2008-01-14,1.8265041000691147
2008-01-15,1.7531361188755905
2008-01-16,1.682533912703292
2008-01-17,1.596308618775114
2008-01-18,1.4983032148399436
2008-01-22,1.3848954735921315
2008-01-23,1.299362311428923
2008-01-24,1.2200484697221308
2008-01-25,1.130429391512656
2008-01-28,1.048772233645639
2008-01-29,0.9717729449179018
2008-01-30,0.8820949205473989
2008-01-31,0.808635098379376
2008-02-01,0.7561188506287881
2008-02-04,0.6924691384946643
2008-02-05,0.6090034016312583
2008-02-06,0.5202466884935475
2008-02-07,0.4369620965957628
2008-02-08,0.35505906708656165
2008-02-11,0.2870334956582329
2008-02-12,0.2388633735899821
2008-02-13,0.20244630487051085
2008-02-14,0.14763607540067747
2008-02-15,0.09979007869605161
2008-02-19,0.055396892769350115
2008-02-20,0.025786728871260767
2008-02-21,-0.0008240756972576202
2008-02-22,-0.005220026392032451
2008-02-25,-0.0033469010175241065
2008-02-26,0.02000905503899142
2008-02-27,0.06274244033024157
2008-02-28,0.08641594725789636
2008-02-29,0.09467660868372052
2008-03-03,0.0988626132376842
2008-03-04,0.110745565870212
2008-03-05,0.12197055792423117
2008-03-06,0.12587062601200627
2008-03-07,0.11329847250209135
2008-03-10,0.08552833187502695
2008-03-11,0.0917270241806972
2008-03-12,0.08583904865045608
2008-03-13,0.08121408283098216
2008-03-14,0.05487389749139525
2008-03-17,0.026737918810589567
2008-03-18,0.04293775492963733
2008-03-19,0.02942246313623581
2008-03-20,0.033362857091416086
2008-03-24,0.05287935886792051
2008-03-25,0.06442513970235346
2008-03-26,0.056894484961333064
2008-03-27,0.03733831232474924
2008-03-28,0.01167728021659832
2008-03-31,-0.007998168519297563
2008-04-01,0.007786185905509446
2008-04-02,0.02074721141100022
2008-04-03,0.0350557610178207
2008-04-04,0.05476000512519992
2008-04-07,0.07484056981266543
2008-04-08,0.09454430311800326
2008-04-09,0.11389518024471182
2008-04-10,0.13419755252184434
2008-04-11,0.12510092498015893
2008-04-14,0.1167967718119125
2008-04-15,0.10861546349557594
2008-04-16,0.13350564439507945
2008-04-17,0.16115133145348515
2008-04-18,0.2038918126983254
2008-04-21,0.2533000349415919
2008-04-22,0.2990932314390766
2008-04-23,0.3462906319859814
2008-04-24,0.4015546508586249
2008-04-25,0.45834535007704724
2008-04-28,0.5224413586694823
2008-04-29,0.5823099058130932
2008-04-30,0.6400518238867496
2008-05-01,0.718290876520832
2008-05-02,0.8147712010067745
2008-05-05,0.9035026984635977
2008-05-06,0.9982057799963282
2008-05-07,1.0766354152936448
2008-05-08,1.156586527881303
2008-05-09,1.2299237818414697
2008-05-12,1.3113014787734802
2008-05-13,1.3887425660880135
2008-05-14,1.4683702625918922
2008-05-15,1.5651601340816237
2008-05-16,1.656920458673793
2008-05-19,1.7552239811353687
2008-05-20,1.8342133623300954
2008-05-21,1.8905530374459854
2008-05-22,1.9447000739440081
2008-05-23,1.99079965166682
2008-05-27,2.0449169974797488
2008-05-28,2.1120592758723093
2008-05-29,2.1835802051707893
2008-05-30,2.2569307844317117
2008-06-02,2.3215882626302196
2008-06-03,2.374612722103483
2008-06-04,2.4305903145242467
2008-06-05,2.514576772274189
2008-06-06,2.5628382321705856
2008-06-09,2.6238340669218694
2008-06-10,2.694896449029731
2008-06-11,2.7408435901112407
2008-06-12,2.790918993032388
2008-06-13,2.8601386770136155
2008-06-16,2.9212307957399872
2008-06-17,2.9743350329298086
2008-06-18,3.0144166052669674
2008-06-19,3.0534504976127352
2008-06-20,3.067831857505734
2008-06-23,3.081583999069335
2008-06-24,3.1144967734024434
2008-06-25,3.132893547009307
2008-06-26,3.124786121753531
2008-06-27,3.1033457372495667
2008-06-30,3.0786444651043325
2008-07-01,3.054944889536359
2008-07-02,3.022075311517374
2008-07-03,2.935685218860575
2008-07-07,2.9099680748705103
2008-07-08,2.9024000998815658
2008-07-09,2.884514302698749
2008-07-10,2.87274119449108
2008-07-11,2.8499867058070216
2008-07-14,2.8272961810554884
2008-07-15,2.7885172895840404
2008-07-16,2.779290302979581
2008-07-17,2.7878805302205287
2008-07-18,2.8049237967934912
2008-07-21,2.8209323961359387
2008-07-22,2.8517895494595034
2008-07-23,2.8818522912858335
2008-07-24,2.892685311565987
2008-07-25,2.898213792777499
2008-07-28,2.8880451880591855
2008-07-29,2.911325531438659
2008-07-30,2.9543421585563143
2008-07-31,2.9758807922136397
2008-08-01,2.9843169719679965
2008-08-04,3.0014672887053857
2008-08-05,3.049445110289284
2008-08-06,3.1020269159061855
2008-08-07,3.134992046369784
2008-08-08,3.1905997142967277
2008-08-11,3.2564365012175123
2008-08-12,3.30914060751961
2008-08-13,3.352233205493529
2008-08-14,3.4059825176571974
2008-08-15,3.4608627918895745
2008-08-18,3.5022996713559875
2008-08-19,3.527501575955685
2008-08-20,3.5609359249479287
2008-08-21,3.5976161993103593
2008-08-22,3.6615561128018896
2008-08-25,3.7031248293699295
2008-08-26,3.7514657764511496
2008-08-27,3.8117408997030915
2008-08-28,3.8927339344245517
2008-08-29,3.967561333131505
2008-09-02,4.047491097557504
2008-09-03,4.125094714722103
2008-09-04,4.17320472049986
2008-09-05,4.218381726347266
2008-09-08,4.2883446412545325
2008-09-09,4.346808181524854
2008-09-10,4.415251550971311
2008-09-11,4.503905831899469
2008-09-12,4.591745143477503
2008-09-15,4.630358014088395
2008-09-16,4.686259250806732
2008-09-17,4.715834991971961
2008-09-18,4.775973818624875
2008-09-19,4.868849273760911
2008-09-22,4.93529819933835
2008-09-23,4.982450183364695
2008-09-24,5.025563831895701
2008-09-25,5.084749877378037
2008-09-26,5.153486904099076
2008-09-29,5.161925192063762
2008-09-30,5.204780580588463
2008-10-01,5.24778421626366
2008-10-02,5.262861140138095
2008-10-03,5.265573523972365
2008-10-06,5.232135111096249
2008-10-07,5.1479947610210886
2008-10-08,5.030055768656346
2008-10-09,4.854600155913543
2008-10-10,4.670376690515912
2008-10-13,4.591280766145409
2008-10-14,4.5000222232218166
2008-10-15,4.327173042209151
2008-10-16,4.210578859371246
2008-10-17,4.071701978573236
2008-10-20,3.9811211803618884
2008-10-21,3.861842593502993
2008-10-22,3.6940503815136556
2008-10-23,3.5546879410349295
2008-10-24,3.363971128004917
2008-10-27,3.151223531595388
2008-10-28,3.043204525981603
2008-10-29,2.9236987407321795
2008-10-30,2.8340406587331604
2008-10-31,2.7552996960979597
2008-11-03,2.6718097919614006
2008-11-04,2.615352612264541
2008-11-05,2.519147337612631
2008-11-06,2.370266617529861
2008-11-07,2.26029499390177
2008-11-10,2.1443027706987086
2008-11-12,1.9845416604525596
2008-11-13,1.8822188761801888
2008-11-14,1.7414470536983022
2008-11-17,1.5909992719028268
2008-11-18,1.4577789607627332
2008-11-19,1.2942009387369477
2008-11-20,1.0977192335211445
2008-11-21,0.9474347861741262
2008-11-24,0.8234343605507649
2008-11-25,0.7082960553867369
2008-11-26,0.6160373098530848
2008-11-28,0.5378794585066774
2008-12-01,0.3956088217930571
2008-12-02,0.27683327700940696
2008-12-03,0.17774757206772512
2008-12-04,0.05817321125884603
2008-12-05,-0.026632309743909455
2008-12-08,-0.08582126286018749
2008-12-09,-0.16159933270162533
2008-12-10,-0.2228737755420771
2008-12-11,-0.2979447358972457
2008-12-12,-0.37103750540123986
2008-12-15,-0.44449894573903787
2008-12-16,-0.48708027566570344
2008-12-17,-0.5443828012004684
2008-12-18,-0.6147677644290861
2008-12-19,-0.6952697786485215
2008-12-22,-0.7830598059133971
2008-12-23,-0.8789284783995901
2008-12-24,-0.9730328407385284
2008-12-26,-1.059994555210821
2008-12-29,-1.1428821851188335
2008-12-30,-1.2039440625218536
2008-12-31,-1.2505733155034715
2009-01-02,-1.2706259380311642
2009-01-05,-1.2941430784551375
2009-01-06,-1.3062082586196406
2009-01-07,-1.345740466578373
2009-01-08,-1.3869135922225135
2009-01-09,-1.4310413156463373
2009-01-12,-1.4799053427892375
2009-01-13,-1.5198230199271852
2009-01-14,-1.5833174424927061
2009-01-15,-1.6480109782195949
2009-01-16,-1.7146900317448646
2009-01-21,-1.7867910740361728
2009-01-22,-1.8673434045827055
2009-01-23,-1.9594889320461812
2009-01-26,-2.0513332438760727
2009-01-27,-2.143785118186134
2009-01-28,-2.2204640165235436
2009-01-29,-2.3115920320996177
2009-01-30,-2.4138607498365103
2009-02-02,-2.512655451568688
2009-02-03,-2.59666058079065
2009-02-04,-2.6891231943307625
2009-02-05,-2.7615143119588152
2009-02-06,-2.8025651535266176
2009-02-09,-2.8391977594794717
2009-02-10,-2.913936579028553
2009-02-11,-2.9902441654866636
2009-02-12,-3.052807354607546
2009-02-13,-3.1243665426010967
2009-02-18,-3.212331999914262
2009-02-19,-3.2948666139245737
2009-02-20,-3.3734559716659986
2009-02-23,-3.488332446590194
2009-02-24,-3.570666084494255
2009-02-25,-3.6396959455504128
2009-02-26,-3.724999269795981
2009-02-27,-3.8072456742056384
2009-03-02,-3.916765524237136
2009-03-03,-4.022509470643505
2009-03-04,-4.116692055781582
2009-03-05,-4.223215490118885
2009-03-06,-4.321983654659508
2009-03-09,-4.436126107833983
2009-03-10,-4.519367591102524
2009-03-11,-4.603943867005867
2009-03-12,-4.664902255265474
2009-03-13,-4.726917356232784
2009-03-16,-4.791348239735676
2009-03-17,-4.83309887305373
2009-03-18,-4.86961973420096
2009-03-19,-4.914249385082857
2009-03-20,-4.979372343766349
2009-03-23,-5.000342259993869
2009-03-24,-5.0409636014819625
2009-03-25,-5.0771477031290715
2009-03-26,-5.093978749951153
2009-03-27,-5.120251739963639
2009-03-30,-5.173769265122367
2009-03-31,-5.225374474433727
2009-04-01,-5.260360186946608
2009-04-02,-5.266361660178564
2009-04-03,-5.267511382920957
2009-04-06,-5.27454877193929
2009-04-07,-5.29670587887196
2009-04-08,-5.317110499707918
2009-04-09,-5.3172296195915445
2009-04-13,-5.320460241302818
2009-04-14,-5.341907865382274
2009-04-15,-5.354130572037043
2009-04-16,-5.356706448328904
2009-04-17,-5.356877049749448
2009-04-20,-5.381695320427863
2009-04-21,-5.394656562719316
2009-04-22,-5.4150589772977735
2009-04-23,-5.42856954101369
2009-04-24,-5.438256806998004
2009-04-27,-5.447031511870634
2009-04-28,-5.457182114806682
2009-04-29,-5.455074662586157
2009-04-30,-5.45343881297665
2009-05-01,-5.438107302063404
2009-05-04,-5.400193830164113
2009-05-05,-5.364856060003786
2009-05-06,-5.318327205600433
2009-05-07,-5.280426931877286
2009-05-08,-5.227621505394645
2009-05-11,-5.193684605531807
2009-05-12,-5.1590520222704574
2009-05-13,-5.145848359241822
2009-05-14,-5.124916299521714
2009-05-15,-5.1123374701310835
2009-05-18,-5.07791310083103
2009-05-19,-5.049310072700131
2009-05-20,-5.0286063573952875
2009-05-21,-5.022812861261639
2009-05-22,-5.015540130776244
2009-05-27,-5.008179169948061
2009-05-28,-4.986015525461627
2009-05-29,-4.952205698716847
2009-06-01,-4.89846452811185
2009-06-02,-4.844721117709577
2009-06-03,-4.79852377097391
2009-06-04,-4.746744632891214
2009-06-05,-4.68696159943979
2009-06-08,-4.627455564354356
2009-06-09,-4.566518248601557
2009-06-10,-4.499168301886665
2009-06-11,-4.438322064061707
2009-06-12,-4.3773299081179475
2009-06-15,-4.332627409484196
2009-06-16,-4.306243296051406
2009-06-17,-4.283133439485702
2009-06-18,-4.255518112576062
2009-06-19,-4.237310959096868
2009-06-22,-4.241940664334184
2009-06-23,-4.251878003763454
2009-06-24,-4.242763042298002
2009-06-25,-4.2335796798594565
2009-06-26,-4.225842631167182
2009-06-29,-4.212602630789138
2009-06-30,-4.211141161157144
2009-07-01,-4.211361302908528
2009-07-02,-4.2276808467338
2009-07-07,-4.323355779548658
2009-07-08,-4.348323230333188
2009-07-09,-4.374061343494327
2009-07-10,-4.394672744354692
2009-07-13,-4.398329240052893
2009-07-14,-4.399749147606832
2009-07-15,-4.373447372969038
2009-07-16,-4.343977401891971
2009-07-17,-4.314331267986597
2009-07-20,-4.280634730221399
2009-07-21,-4.240863842390167
2009-07-22,-4.204611772922283
2009-07-23,-4.14915101627232
2009-07-24,-4.099079672244349
2009-07-27,-4.043115126666944
2009-07-28,-3.9926937250092447
2009-07-29,-3.945797603876026
2009-07-30,-3.886075384274922
2009-07-31,-3.8266561569550683
2009-08-03,-3.7586663631115487
2009-08-04,-3.697851847085249
2009-08-05,-3.631461871212024
2009-08-06,-3.5714450199540124
2009-08-07,-3.502662826553498
2009-08-10,-3.44001430492482
2009-08-11,-3.3900016107482105
2009-08-12,-3.3288888904293494
2009-08-13,-3.267181172055941
2009-08-14,-3.214038057660649
2009-08-17,-3.1810879679315565
2009-08-18,-3.1440769181309567
2009-08-19,-3.098513740093961
2009-08-20,-3.0521582654496884
2009-08-21,-2.994257581351418
2009-08-24,-2.9358676279905818
2009-08-25,-2.872925828899355
2009-08-26,-2.8114114334196896
2009-08-27,-2.7453756913485763
2009-08-28,-2.682772658588964
2009-08-31,-2.629655115982562
2009-09-01,-2.587722222727089
2009-09-02,-2.544972210934795
2009-09-03,-2.50522457405507
