Date,Price,Open,High,Low,Change %
2006-01-03,4.37,4.37,4.37,4.37,-0.57%
2006-01-04,4.349999981818347,4.349999981818347,4.349999981818347,4.349999981818347,-0.50%
2006-01-05,4.353809735589792,4.353809735589792,4.353809735589792,4.353809735589792,0.23%
2006-01-06,4.363227659854211,4.363227659854211,4.363227659854211,4.363227659854211,0.57%
2006-01-09,4.365612043275977,4.365612043275977,4.365612043275977,4.365612043275977,-0.23%
2006-01-10,4.378245065027571,4.378245065027571,4.378245065027571,4.378245065027571,1.30%
2006-01-11,4.391332085075035,4.391332085075035,4.391332085075035,4.391332085075035,0.63%
2006-01-12,4.393682827508688,4.393682827508688,4.393682827508688,4.393682827508688,-1.12%
2006-01-13,4.389145942587337,4.389145942587337,4.389145942587337,4.389145942587337,-1.16%
2006-01-17,4.382631307094541,4.382631307094541,4.382631307094541,4.382631307094541,-0.85%
2006-01-18,4.378199508447951,4.378199508447951,4.378199508447951,4.378199508447951,0.18%
2006-01-19,4.378091059352111,4.378091059352111,4.378091059352111,4.378091059352111,0.90%
2006-01-20,4.376174525881372,4.376174525881372,4.376174525881372,4.376174525881372,-0.50%
2006-01-23,4.375010285956524,4.375010285956524,4.375010285956524,4.375010285956524,0.14%
2006-01-24,4.376365060466302,4.376365060466302,4.376365060466302,4.376365060466302,0.76%
2006-01-25,4.3833419966668155,4.3833419966668155,4.3833419966668155,4.3833419966668155,1.98%
2006-01-26,4.392209586219708,4.392209586219708,4.392209586219708,4.392209586219708,0.98%
2006-01-27,4.399454146888824,4.399454146888824,4.399454146888824,4.399454146888824,-0.22%
2006-01-30,4.406794610797013,4.406794610797013,4.406794610797013,4.406794610797013,0.35%
2006-01-31,4.412734990667295,4.412734990667295,4.412734990667295,4.412734990667295,-0.26%
2006-02-01,4.420203140398524,4.420203140398524,4.420203140398524,4.420203140398524,0.93%
2006-02-02,4.427063874439801,4.427063874439801,4.427063874439801,4.427063874439801,0.04%
2006-02-03,4.431746198826753,4.431746198826753,4.431746198826753,4.431746198826753,-0.75%
2006-02-06,4.4368182931389555,4.4368182931389555,4.4368182931389555,4.4368182931389555,0.40%
2006-02-07,4.442486760706579,4.442486760706579,4.442486760706579,4.442486760706579,0.53%
2006-02-08,4.448520033845134,4.448520033845134,4.448520033845134,4.448520033845134,0.44%
2006-02-09,4.452451904828433,4.452451904828433,4.452451904828433,4.452451904828433,-0.91%
2006-02-10,4.457644335958247,4.457644335958247,4.457644335958247,4.457644335958247,0.90%
2006-02-13,4.462288941095612,4.462288941095612,4.462288941095612,4.462288941095612,-0.11%
2006-02-14,4.467570658679299,4.467570658679299,4.467570658679299,4.467570658679299,0.59%
2006-02-15,4.472095832454347,4.472095832454347,4.472095832454347,4.472095832454347,-0.26%
2006-02-16,4.475936308623476,4.475936308623476,4.475936308623476,4.475936308623476,-0.26%
2006-02-17,4.477964808768756,4.477964808768756,4.477964808768756,4.477964808768756,-1.07%
2006-02-21,4.480872842276757,4.480872842276757,4.480872842276757,4.480872842276757,0.57%
2006-02-22,4.48227529062934,4.48227529062934,4.48227529062934,4.48227529062934,-0.96%
2006-02-23,4.484664823868703,4.484664823868703,4.484664823868703,4.484664823868703,0.80%
2006-02-24,4.487328168186511,4.487328168186511,4.487328168186511,4.487328168186511,0.31%
2006-02-27,4.490328857724634,4.490328857724634,4.490328857724634,4.490328857724634,0.37%
2006-02-28,4.492159316841387,4.492159316841387,4.492159316841387,4.492159316841387,-0.81%
2006-03-01,4.494756208620081,4.494756208620081,4.494756208620081,4.494756208620081,0.70%
2006-03-02,4.498353455596418,4.498353455596418,4.498353455596418,4.498353455596418,0.94%
2006-03-03,4.5031127149999755,4.5031127149999755,4.5031127149999755,4.5031127149999755,1.12%
2006-03-06,4.509407577972625,4.509407577972625,4.509407577972625,4.509407577972625,1.49%
2006-03-07,4.514778708144422,4.514778708144422,4.514778708144422,4.514778708144422,-0.55%
2006-03-08,4.520008835052839,4.520008835052839,4.520008835052839,4.520008835052839,0.08%
2006-03-09,4.5249660262585065,4.5249660262585065,4.5249660262585065,4.5249660262585065,-0.04%
2006-03-10,4.530478339503998,4.530478339503998,4.530478339503998,4.530478339503998,0.70%
2006-03-13,4.535990626332025,4.535990626332025,4.535990626332025,4.535990626332025,0.21%
2006-03-14,4.539606597166944,4.539606597166944,4.539606597166944,4.539606597166944,-1.57%
2006-03-15,4.543803453175045,4.543803453175045,4.543803453175045,4.543803453175045,0.70%
2006-03-16,4.546049215192697,4.546049215192697,4.546049215192697,4.546049215192697,-1.75%
2006-03-17,4.548803419646885,4.548803419646885,4.548803419646885,4.548803419646885,0.60%
2006-03-20,4.551163593558587,4.551163593558587,4.551163593558587,4.551163593558587,-0.30%
2006-03-21,4.554730771811789,4.554730771811789,4.554730771811789,4.554730771811789,1.35%
2006-03-22,4.557766767806148,4.557766767806148,4.557766767806148,4.557766767806148,-0.42%
2006-03-23,4.56133345058289,4.56133345058289,4.56133345058289,4.56133345058289,0.68%
2006-03-24,4.563562170767992,4.563562170767992,4.563562170767992,4.563562170767992,-1.31%
2006-03-27,4.566372996600124,4.566372996600124,4.566372996600124,4.566372996600124,0.73%
2006-03-28,4.570710758256241,4.570710758256241,4.570710758256241,4.570710758256241,1.81%
2006-03-29,4.575170935612136,4.575170935612136,4.575170935612136,4.575170935612136,0.29%
2006-03-30,4.580471899541799,4.580471899541799,4.580471899541799,4.580471899541799,1.10%
2006-03-31,4.5854604220156485,4.5854604220156485,4.5854604220156485,4.5854604220156485,-0.16%
2006-04-03,4.590530335655955,4.590530335655955,4.590530335655955,4.590530335655955,0.27%
2006-04-04,4.5954825255209055,4.5954825255209055,4.5954825255209055,4.5954825255209055,0.04%
2006-04-05,4.599917090589091,4.599917090589091,4.599917090589091,4.599917090589091,-0.43%
2006-04-06,4.605162653708243,4.605162653708243,4.605162653708243,4.605162653708243,1.11%
2006-04-07,4.611720892404684,4.611720892404684,4.611720892404684,4.611720892404684,1.73%
2006-04-10,4.617599504684095,4.617599504684095,4.617599504684095,4.617599504684095,-0.58%
2006-04-11,4.622758471302991,4.622758471302991,4.622758471302991,4.622758471302991,-0.67%
2006-04-12,4.6287417237267015,4.6287417237267015,4.6287417237267015,4.6287417237267015,1.18%
2006-04-13,4.635733128611199,4.635733128611199,4.635733128611199,4.635733128611199,1.43%
2006-04-17,4.641820640859324,4.641820640859324,4.641820640859324,4.641820640859324,-0.87%
2006-04-18,4.647393161083101,4.647393161083101,4.647393161083101,4.647393161083101,-0.44%
2006-04-19,4.653476854995037,4.653476854995037,4.653476854995037,4.653476854995037,0.82%
2006-04-20,4.659706164546774,4.659706164546774,4.659706164546774,4.659706164546774,0.38%
2006-04-21,4.6652927862361,4.6652927862361,4.6652927862361,4.6652927862361,-0.61%
2006-04-24,4.670259335921255,4.670259335921255,4.670259335921255,4.670259335921255,-0.62%
2006-04-25,4.6764591261192345,4.6764591261192345,4.6764591261192345,4.6764591261192345,1.77%
2006-04-26,4.683089176854153,4.683089176854153,4.683089176854153,4.683089176854153,0.75%
2006-04-27,4.688986699428513,4.688986699428513,4.688986699428513,4.688986699428513,-0.74%
2006-04-28,4.694505786666355,4.694505786666355,4.694505786666355,4.694505786666355,-0.32%
2006-05-01,4.701175993806214,4.701175993806214,4.701175993806214,4.701175993806214,1.70%
2006-05-02,4.70726580070327,4.70726580070327,4.70726580070327,4.70726580070327,-0.56%
2006-05-03,4.713715610626833,4.713715610626833,4.713715610626833,4.713715610626833,0.66%
2006-05-04,4.720210311560654,4.720210311560654,4.720210311560654,4.720210311560654,0.25%
2006-05-05,4.725769394879064,4.725769394879064,4.725769394879064,4.725769394879064,-1.07%
2006-05-08,4.731393419580918,4.731393419580918,4.731393419580918,4.731393419580918,0.25%
2006-05-09,4.737052687336078,4.737052687336078,4.737052687336078,4.737052687336078,0.21%
2006-05-10,4.74259170680964,4.74259170680964,4.74259170680964,4.74259170680964,0.00%
2006-05-11,4.748462323607633,4.748462323607633,4.748462323607633,4.748462323607633,0.62%
2006-05-12,4.754739331958952,4.754739331958952,4.754739331958952,4.754739331958952,0.74%
2006-05-15,4.760349008960243,4.760349008960243,4.760349008960243,4.760349008960243,-0.75%
2006-05-16,4.765049252657915,4.765049252657915,4.765049252657915,4.765049252657915,-1.12%
2006-05-17,4.770309366304781,4.770309366304781,4.770309366304781,4.770309366304781,0.94%
2006-05-18,4.774273288527434,4.774273288527434,4.774273288527434,4.774273288527434,-1.71%
2006-05-19,4.778172841122366,4.778172841122366,4.778172841122366,4.778172841122366,0.02%
2006-05-22,4.781729081840765,4.781729081840765,4.781729081840765,4.781729081840765,-0.39%
2006-05-23,4.784844598676295,4.784844598676295,4.784844598676295,4.784844598676295,-0.56%
