Date,Price,Open,High,Low,Vol.,Change %
2006-01-03,63.14,61.04,63.8,60.81,130.64K,3.44%
2006-01-04,63.39454568594831,62.82181980163816,63.663636239670545,62.12818301651803,105.19K,0.44%
2006-01-05,63.106650064369035,63.09715969978184,63.70000204751134,62.35287082240011,104.04K,-0.99%
2006-01-06,63.46263403165677,62.936756479925116,63.94198080507742,62.43260438854588,110.76K,2.26%
2006-01-09,63.47175106955421,63.23277950948354,64.10497286941744,62.54664568579214,115.56K,-1.11%
2006-01-10,63.45178734434336,63.2616644089834,64.1236173468744,62.6454046202836,111.89K,-0.20%
2006-01-11,63.53189835959543,63.27615943240657,64.23460525432203,62.637954157486476,166.38K,0.90%
2006-01-12,63.58945455949573,63.375424871198206,64.34960362319251,62.81030415031989,111.40K,0.00%
2006-01-13,63.63033599439848,63.44277722264437,64.34717907229209,62.84984372178528,115.94K,-0.03%
2006-01-17,63.92548784211622,63.594471556936185,64.56777997457874,63.04261485213224,117.43K,3.74%
2006-01-18,64.10467225457639,63.86808996561829,64.80234365180723,63.261803738760655,87.07K,-0.87%
2006-01-19,64.35107262829808,64.04727699146297,64.99199545020187,63.44155911043075,64.89K,1.67%
2006-01-20,64.68297936492947,64.27990003283851,65.3080557948195,63.718646168559076,41.69K,2.27%
2006-01-23,64.94514451450172,64.59984392501217,65.60665865492689,64.0164365000891,84.18K,-0.37%
2006-01-24,65.09602368503884,64.84955396381427,65.78525339499582,64.22929151037144,100.19K,-1.53%
2006-01-25,65.14629794973116,64.99961109088042,65.87291917111071,64.310686934209,138.33K,-1.80%
2006-01-26,65.21601411425151,65.05284422722971,65.93721297035913,64.37324251097677,124.70K,0.62%
2006-01-27,65.36610775367566,65.13763555471424,66.05596619629365,64.48987001565301,112.32K,2.26%
2006-01-30,65.53261359800322,65.2889897239684,66.1895570189267,64.64388957653482,92.44K,0.87%
2006-01-31,65.65900665475162,65.4536928897544,66.31981783848775,64.78715652654944,118.87K,-0.63%
2006-02-01,65.70438993998823,65.57187703106746,66.45481935893568,64.86335887281098,140.03K,-2.00%
2006-02-02,65.65517270263138,65.60205545828981,66.4901414161904,64.84109660457277,150.16K,-2.82%
2006-02-03,65.64207360657798,65.56062052786136,66.4400669630934,64.8001650570984,110.82K,1.07%
2006-02-06,65.61865808807772,65.56235354138992,66.44798546403463,64.80455859762283,97.54K,-0.40%
2006-02-07,65.51183565529468,65.5428215491724,66.39104020626993,64.72832553930367,145.68K,-3.10%
2006-02-08,65.39151262157107,65.44723939690118,66.27318695605716,64.62967607668571,150.44K,-0.86%
2006-02-09,65.28306085278957,65.33465044479861,66.17249584802545,64.54007900304421,133.58K,0.11%
2006-02-10,65.15308554246941,65.23292757589164,66.05273434802105,64.41399125046709,146.06K,-1.25%
2006-02-13,65.01037703122847,65.11867108307317,65.91149742712078,64.28401405474524,91.96K,-0.97%
2006-02-14,64.81844374828994,64.97971709752217,65.74880652622011,64.11523686928903,132.02K,-2.73%
2006-02-15,64.57349460534196,64.79213084515244,65.55407558831509,63.89260811704193,136.09K,-3.22%
2006-02-16,64.3709244058479,64.55713360496756,65.3302797844998,63.68244625798686,93.51K,1.41%
2006-02-17,64.22646979796089,64.37195024352513,65.1588265587017,63.52153809134474,95.55K,2.43%
2006-02-21,64.12874463811652,64.27436635297431,65.04446133741438,63.42709281855013,44.13K,2.04%
2006-02-22,64.03392244451652,64.2204185857276,64.96983598807492,63.33870567883863,106.29K,-0.15%
2006-02-23,63.93049879787824,64.12242683935315,64.85676497012291,63.23099630167729,122.12K,-0.77%
2006-02-24,63.9010632155949,64.01794044160643,64.81041894542756,63.151357272223265,134.35K,3.91%
2006-02-27,63.81945601065169,63.983679652426616,64.7552721600028,63.086619856798364,93.77K,-3.04%
2006-02-28,63.7533042908732,63.899017093179985,64.66589852098252,63.01011308718682,133.72K,0.67%
2006-03-01,63.705482981679275,63.83683004299089,64.60379509881253,62.96854506225282,91.94K,0.91%
