Date,Price,Open,High,Low,Vol.,Change %
2006-01-03,108.33,107.44,108.56,106.74,9.76M,1.29%
2006-01-04,108.52524934408197,107.91145573327111,108.70286537371852,107.46861340596445,5.84M,0.38%
2006-01-05,108.6397057835988,108.10456952889106,108.80518541052788,107.75620959242482,4.84M,0.13%
2006-01-06,108.85449143299995,108.40356601737092,109.02351392968949,108.00112745117788,9.02M,0.59%
2006-01-09,109.07531799976888,108.61868810455158,109.25630437936522,108.28932257602006,10.42M,0.42%
2006-01-10,109.24017665499925,108.7731483349531,109.40131033310709,108.48306038791814,6.39M,0.09%
2006-01-11,109.4079821570954,108.96168982375801,109.55062153284393,108.6800763180462,4.39M,0.32%
2006-01-12,109.4527560527384,109.11731598866064,109.6346461774484,108.78272019888175,6.33M,-0.60%
2006-01-13,109.46236554458781,109.17378561186003,109.6671779488731,108.82758006655304,3.71M,-0.21%
2006-01-17,109.41744656413384,109.17142374887773,109.62773898466456,108.81888354369731,3.92M,-0.48%
2006-01-18,109.3435401793952,109.10167834546841,109.56194317641267,108.76383360720489,4.99M,-0.38%
2006-01-19,109.29261699846936,109.07082943896133,109.53024229987834,108.74525565638801,4.60M,0.12%
2006-01-20,109.07605648253046,109.02396458321793,109.45119870164142,108.56915604761055,16.61M,-2.08%
2006-01-23,108.91795738648268,108.85388649694718,109.29629987357652,108.42581775391172,7.60M,0.37%
2006-01-24,108.78606949460388,108.72693756560271,109.17052359776925,108.31607654539856,7.15M,0.07%
2006-01-25,108.68365387719908,108.63636133726023,109.06720317411715,108.20865260070026,9.53M,0.20%
2006-01-26,108.64390870530045,108.57698662615807,109.01603871059528,108.1638925554504,8.23M,0.80%
2006-01-27,108.6699173255695,108.55706621634468,109.03021014613651,108.15307304883217,7.92M,1.02%
2006-01-30,108.68262778648023,108.5852808055116,109.03919916338104,108.18520498549432,4.83M,-0.18%
2006-01-31,108.66184361119059,108.59559256774094,109.04679504306924,108.18796502547175,5.22M,-0.59%
2006-02-01,108.70547635761015,108.59099978359139,109.07433491047576,108.20295687388618,7.07M,1.20%
2006-02-02,108.68685124562094,108.62356693130084,109.08883464031975,108.202361714088,7.33M,-1.16%
2006-02-03,108.64738257851242,108.60052577590139,109.06820214586978,108.18201408044622,5.11M,-0.47%
2006-02-06,108.62087898320266,108.57304450292129,109.02856806796497,108.16038419392113,3.45M,0.21%
2006-02-07,108.57453136939345,108.54285870743247,108.99531416702617,108.12624402424083,11.36M,-0.50%
2006-02-08,108.57513667072794,108.51065951111245,108.98414956878594,108.10878209692162,5.26M,1.03%
2006-02-09,108.58513524283417,108.52195959357643,109.00588788218221,108.12996803340688,7.85M,0.23%
2006-02-10,108.60500622056992,108.5335583871339,109.02427262910837,108.13325145957852,7.64M,0.27%
2006-02-13,108.62070533732292,108.55213093516953,109.04070321467759,108.14830689511479,10.96M,-0.07%
2006-02-14,108.68150468294347,108.57734427236228,109.09227660430196,108.18151011106336,13.19M,1.24%
2006-02-15,108.74838737657362,108.63442434299124,109.14985594100207,108.24143429030364,9.48M,0.27%
2006-02-16,108.82949730388947,108.70472534047055,109.21869559046215,108.31665634978043,5.66M,0.51%
2006-02-17,108.89796661078276,108.7774072616374,109.28156363400166,108.39052820666905,3.94M,-0.22%
2006-02-21,108.9488030491001,108.85106367729637,109.34354017421443,108.45162410913781,9.06M,-0.41%
2006-02-22,109.01248065814148,108.90845815671007,109.40796558994526,108.51906634364215,5.03M,0.48%
2006-02-23,109.06230975793417,108.97167166440467,109.46369378533436,108.57562811778958,9.45M,-0.32%
2006-02-24,109.11006595688599,109.0166328028348,109.5029720209824,108.61822755265814,5.47M,0.02%
2006-02-27,109.1578359207251,109.06504612492425,109.5531331525702,108.67675545670471,2.55M,0.08%
2006-02-28,109.17773788432511,109.10620763759042,109.5854966429874,108.70634019861788,6.67M,-0.86%
2006-03-01,109.21134678836619,109.13592505514873,109.61575690886174,108.74260680036932,4.73M,0.51%
2006-03-02,109.24130653624832,109.16217837551334,109.63842548138034,108.77022699454628,5.01M,-0.07%
2006-03-03,109.26209878839465,109.17993790462116,109.67384245351575,108.79631531724944,6.32M,-0.28%
2006-03-06,109.27113865006442,109.2035280105051,109.69094804523999,108.80820014525739,5.50M,-0.40%
2006-03-07,109.28507613398257,109.20729545125316,109.6962222496709,108.82004141358043,6.27M,0.20%
2006-03-08,109.30431376878626,109.21892656253871,109.71118362878367,108.83066343524808,6.36M,0.23%
2006-03-09,109.31370851823453,109.24118278779765,109.7306086647705,108.85033209444619,6.04M,-0.35%
2006-03-10,109.34862696273784,109.25820269097211,109.760369884705,108.87350817632549,8.35M,1.04%
2006-03-13,109.38570800443857,109.29797154410531,109.79495687849699,108.91360500391004,5.69M,0.14%
2006-03-14,109.43470134215465,109.33134643615222,109.83804615307244,108.95387329489542,4.98M,0.55%
2006-03-15,109.49710409774546,109.38218280892826,109.89391087776127,109.00961242642447,5.84M,0.64%
2006-03-16,109.56647054548206,109.44805054355767,109.95889421887732,109.08210484382701,6.33M,0.39%
2006-03-17,109.63180533145848,109.51418639511823,110.01834040845667,109.15232620680233,5.74M,-0.06%
