Date,Price
2006-01-03,126.7
2006-01-04,127.2454550413178
2006-01-05,127.30952779117028
2006-01-06,127.67426246764224
2006-01-09,127.94161484872843
2006-01-10,128.12965157296108
2006-01-11,128.3233354313078
2006-01-12,128.39056133408496
2006-01-13,128.42635873598195
2006-01-17,128.4157452938081
2006-01-18,128.35658898944044
2006-01-19,128.3523768192056
2006-01-20,128.15464206636054
2006-01-23,128.02155457718524
2006-01-24,127.91657013000751
2006-01-25,127.83278349365446
2006-01-26,127.80318791931018
2006-01-27,127.84665938956556
2006-01-30,127.87976872165888
2006-01-31,127.8596629987027
2006-02-01,127.88637622086836
2006-02-02,127.83898536833208
2006-02-03,127.7669157422546
2006-02-06,127.71556206334024
2006-02-07,127.62112138772284
2006-02-08,127.58045135180066
2006-02-09,127.53465054310598
2006-02-10,127.5008775466531
2006-02-13,127.46109372160264
2006-02-14,127.47128616417714
2006-02-15,127.49618666361702
2006-02-16,127.55131699761247
2006-02-17,127.59180366430569
2006-02-21,127.6198789012821
2006-02-22,127.67004912053434
2006-02-23,127.71178509603205
2006-02-24,127.76076893084348
2006-02-27,127.80856847459732
2006-02-28,127.8201388954936
2006-03-01,127.86170016322876
2006-03-02,127.90097155396548
2006-03-03,127.92299372099718
2006-03-06,127.92919120796712
2006-03-07,127.93019393867536
2006-03-08,127.9376532673806
2006-03-09,127.92448893318792
2006-03-10,127.93990062174208
2006-03-13,127.960131734577
2006-03-14,128.0096781202175
2006-03-15,128.06998691213258
2006-03-16,128.13378446749354
2006-03-17,128.1864778460203
2006-03-20,128.23283877815751
2006-03-21,128.26068815732813
2006-03-22,128.30350612041164
2006-03-23,128.33945475855063
2006-03-24,128.376131528965
2006-03-27,128.40790199740098
2006-03-28,128.42337769898324
2006-03-29,128.4535763727782
2006-03-30,128.4785470422139
2006-03-31,128.5032848708669
2006-04-03,128.52545407711813
2006-04-04,128.56176600232584
2006-04-05,128.60493140459982
2006-04-06,128.64439415693482
2006-04-07,128.65981700596458
2006-04-10,128.6782078580986
2006-04-11,128.67756453973743
2006-04-12,128.6809361500929
2006-04-13,128.68141509688914
2006-04-17,128.6810658436481
2006-04-18,128.71365919292816
2006-04-19,128.74940530035943
2006-04-20,128.7870891354515
2006-04-21,128.8241391424185
2006-04-24,128.85654232614257
2006-04-25,128.879840495134
2006-04-26,128.9030344804372
2006-04-27,128.93520549601791
2006-04-28,128.973219752502
2006-05-01,128.99443946841123
2006-05-02,129.02963025858006
2006-05-03,129.05685535533644
2006-05-04,129.09029769320873
2006-05-05,129.1397184046796
2006-05-08,129.1857752044382
2006-05-09,129.23453304889992
2006-05-10,129.28126815921686
2006-05-11,129.30462603109234
2006-05-12,129.30372763842638
2006-05-15,129.30643778154217
2006-05-16,129.3064866455329
2006-05-17,129.27300724688814
2006-05-18,129.23152480400708
2006-05-19,129.2028357230508
2006-05-22,129.16172726910125
2006-05-23,129.10864217596443
2006-05-24,129.0697885540811
2006-05-25,129.05217503541414
2006-05-26,129.0433874788984
2006-05-30,129.0051174492818
2006-05-31,128.98578170443562
2006-06-01,128.98249109091506
2006-06-02,128.98271518728825
2006-06-05,128.95899401962257
2006-06-06,128.93176178827386
2006-06-07,128.89302375604026
2006-06-08,128.8535741798594
2006-06-09,128.80980258269497
2006-06-12,128.74985970636308
2006-06-13,128.67309573618
2006-06-14,128.609323380804
2006-06-15,128.57876657548115
2006-06-16,128.53074183279296
2006-06-19,128.4715679207312
2006-06-20,128.418441308008
2006-06-21,128.37727627737175
2006-06-22,128.33014802584134
2006-06-23,128.28352274142586
2006-06-26,128.2441942477386
2006-06-27,128.19262644235351
2006-06-28,128.1518118474077
2006-06-29,128.14139376330556
2006-06-30,128.13066289891776
2006-07-05,128.11821624782542
2006-07-06,128.1102835856896
2006-07-07,128.0927920354095
2006-07-10,128.0783480997403
2006-07-11,128.0706043853
2006-07-12,128.04726366476004
2006-07-13,128.0006506597898
2006-07-14,127.9491959578398
2006-07-17,127.89641554878472
2006-07-18,127.85157900347431
2006-07-19,127.82696288919936
2006-07-20,127.79292473773504
2006-07-21,127.74939300795224
2006-07-24,127.7319999574587
2006-07-25,127.71991832789028
2006-07-26,127.70991355477832
2006-07-27,127.69869938058294
2006-07-28,127.70184672485928
2006-07-31,127.7035004909706
2006-08-01,127.69811569623285
2006-08-02,127.7023592838334
2006-08-03,127.71031642190962
2006-08-04,127.71573434410544
2006-08-07,127.71832084009476
2006-08-08,127.71492372537328
2006-08-09,127.7068426051171
2006-08-10,127.70314606220757
2006-08-11,127.69555416987517
2006-08-14,127.68915290683653
2006-08-15,127.69941905178602
2006-08-16,127.72218895507017
2006-08-17,127.74727984586092
2006-08-18,127.77921741790104
2006-08-21,127.80468675577292
2006-08-22,127.82972950801414
2006-08-23,127.85057307963602
2006-08-24,127.86997229267784
2006-08-25,127.89085408362332
2006-08-28,127.9181420444681
2006-08-29,127.94670514453604
2006-08-30,127.97577665898658
2006-08-31,128.00428056590923
2006-09-01,128.0407720637736
2006-09-05,128.0794899705317
2006-09-06,128.10538374181715
2006-09-07,128.12458346293502
2006-09-08,128.14748502427574
2006-09-11,128.17149327953445
2006-09-12,128.20878169942583
2006-09-13,128.25123870204789
2006-09-14,128.29330062417156
2006-09-15,128.3320170518509
2006-09-18,128.37217800850513
2006-09-19,128.4083932721425
2006-09-20,128.45155227708636
2006-09-21,128.48748293933548
2006-09-22,128.5187975940178
2006-09-25,128.56034361964194
2006-09-26,128.6129360647483
2006-09-27,128.66659894899024
2006-09-28,128.71912416377282
2006-09-29,128.76990008917602
