Date,Price
2006-01-03,1004.4
2006-01-04,998.672722066163
2006-01-05,996.63797431481
2006-01-06,994.2381920520266
2006-01-09,990.1297896241118
2006-01-10,988.495471362412
2006-01-11,987.8234437839023
2006-01-12,985.8456616487542
2006-01-13,986.0255323453288
2006-01-17,986.3421408595708
2006-01-18,986.8940250462542
2006-01-19,986.2707274077604
2006-01-20,986.2980566841876
2006-01-23,985.9222615397146
2006-01-24,985.178710887192
2006-01-25,984.0532580553592
2006-01-26,983.1046856509612
2006-01-27,982.361016767518
2006-01-30,981.699153520314
2006-01-31,980.4921202967442
2006-02-01,979.5606670574024
2006-02-02,979.2118253126882
2006-02-03,978.7840968061454
2006-02-06,978.0894695850149
2006-02-07,977.6632428477412
2006-02-08,977.4128643111434
2006-02-09,977.2127933557496
2006-02-10,976.842361081662
2006-02-13,976.7751709821156
2006-02-14,976.465588141574
2006-02-15,976.3129968642417
2006-02-16,976.2429828666916
2006-02-17,976.11936987904
2006-02-21,975.8671427627612
2006-02-22,975.8255762060944
2006-02-23,975.5051281749847
2006-02-24,975.2396126169198
2006-02-27,975.0500266247532
2006-02-28,974.936087462909
2006-03-01,974.751429286856
2006-03-02,974.5928174801884
2006-03-03,974.5007115353524
2006-03-06,974.5057117631518
2006-03-07,974.5522571493487
2006-03-08,974.724356310984
2006-03-09,974.891388665314
2006-03-10,975.0050606880586
2006-03-13,975.1276825307692
2006-03-14,975.1627758959444
2006-03-15,975.1482426102632
2006-03-16,975.1385815777288
2006-03-17,975.0466287609456
2006-03-20,974.872599692304
2006-03-21,974.733623796319
2006-03-22,974.70263890501
2006-03-23,974.7105462610082
2006-03-24,974.798573356222
2006-03-27,974.8101969176804
2006-03-28,974.8423985585551
2006-03-29,974.843481256797
2006-03-30,974.8593661877871
2006-03-31,974.7942133533066
2006-04-03,974.7148010921976
2006-04-04,974.502149531346
2006-04-05,974.1988542968204
2006-04-06,973.8364899791862
2006-04-07,973.475951549628
2006-04-10,973.1324422149496
2006-04-11,972.8220890805868
2006-04-12,972.6085341615697
2006-04-13,972.425475245951
2006-04-17,972.146180327742
2006-04-18,971.8435449985178
2006-04-19,971.420866220135
2006-04-20,971.0517064984164
2006-04-21,970.6933959511688
2006-04-24,970.208816485425
2006-04-25,969.8207519384628
2006-04-26,969.460355959253
2006-04-27,969.0843353366567
2006-04-28,968.6886500497136
2006-05-01,968.302135187396
2006-05-02,967.880208464334
2006-05-03,967.382933948066
2006-05-04,966.9751614845724
2006-05-05,966.5749319255616
2006-05-08,966.0189386366744
2006-05-09,965.5302713663334
2006-05-10,965.0111086599348
2006-05-11,964.5980304899524
2006-05-12,964.1532128919706
2006-05-15,963.8652702040232
2006-05-16,963.6010028672042
2006-05-17,963.2357326302572
2006-05-18,963.0144970793316
2006-05-19,962.7854918699052
2006-05-22,962.6412033573332
2006-05-23,962.3866487511503
2006-05-24,962.2162663269085
2006-05-25,962.039889497393
2006-05-26,961.8223509669956
2006-05-30,961.60752676686
2006-05-31,961.3966281670292
2006-06-01,961.21270305773
2006-06-02,961.0397540902816
2006-06-05,960.804928873053
2006-06-06,960.575501705215
2006-06-07,960.4181729732048
2006-06-08,960.3263191265208
2006-06-09,960.24853115383
2006-06-12,960.2006677770516
2006-06-13,960.2130410746096
2006-06-14,960.2313718532876
2006-06-15,960.2187116142928
2006-06-16,960.1585859094192
2006-06-19,960.1676117687854
2006-06-20,960.1219293886528
2006-06-21,960.0649008672904
2006-06-22,960.0027626033622
2006-06-23,959.9535890315595
2006-06-26,959.9445903016898
2006-06-27,959.9274027121908
2006-06-28,959.8974386949818
2006-06-29,959.9010132773952
2006-06-30,959.7655989057253
2006-07-05,959.6099299544694
2006-07-06,959.4870020186272
2006-07-07,959.3460817249164
2006-07-10,959.1398338125448
2006-07-11,958.993384284738
2006-07-12,958.872171467479
2006-07-13,958.7573203194738
2006-07-14,958.6969465321304
2006-07-17,958.6385808376886
2006-07-18,958.6324306725234
2006-07-19,958.6195345244768
2006-07-20,958.538674065586
2006-07-21,958.4374189095277
2006-07-24,958.3579056326676
2006-07-25,958.2828698558508
2006-07-26,958.2380930398292
2006-07-27,958.1658889012916
2006-07-28,958.1148032537392
2006-07-31,958.0778016465754
2006-08-01,958.051319824875
2006-08-02,958.0963097048474
2006-08-03,958.1772923899644
2006-08-04,958.2472476415406
2006-08-07,958.2919935420044
2006-08-08,958.3471723371142
2006-08-09,958.355450326606
2006-08-10,958.3449651234976
2006-08-11,958.379521599244
2006-08-14,958.45845568235
2006-08-15,958.534199021152
2006-08-16,958.60353318051
2006-08-17,958.6252390870856
2006-08-18,958.6206239340072
2006-08-21,958.5943979064258
2006-08-22,958.5674181494028
2006-08-23,958.5321357034976
2006-08-24,958.5361015649491
2006-08-25,958.5701566794428
2006-08-28,958.6252866200924
2006-08-29,958.6475493579518
2006-08-30,958.6716831712222
2006-08-31,958.696593292364
2006-09-01,958.7137231279892
2006-09-05,958.6890394988792
2006-09-06,958.6699797216954
2006-09-07,958.6415732026836
2006-09-08,958.6135061679844
2006-09-11,958.598507011181
2006-09-12,958.6027619523647
2006-09-13,958.6027327182992
2006-09-14,958.58896073299
2006-09-15,958.561624073856
2006-09-18,958.5356625138712
2006-09-19,958.4625997296256
2006-09-20,958.3798658150604
2006-09-21,958.2276706638736
2006-09-22,958.1019122480428
2006-09-25,957.9508615937286
2006-09-26,957.8025987734908
2006-09-27,957.6508059952034
2006-09-28,957.5122541607244
2006-09-29,957.3899098417984
2006-10-02,957.2887880289747
2006-10-03,957.1888159075615
2006-10-04,957.101435501832
2006-10-05,957.0150436552874
2006-10-06,956.9296268341787
2006-10-09,956.9968446624982
2006-10-10,957.0186747570442
2006-10-11,957.0278149832048
2006-10-12,957.033744248506
2006-10-13,957.0095802727144
2006-10-16,956.9898237412556
2006-10-17,956.958914894639
2006-10-18,956.9376459133508
2006-10-19,956.9372573125164
2006-10-20,956.9389360058204
2006-10-23,956.9612115204636
2006-10-24,956.9729415623964
2006-10-25,956.9577799841418
2006-10-26,956.8800369599966
2006-10-27,956.7784729537312
2006-10-30,956.6502805092152
2006-10-31,956.4988454084
2006-11-01,956.3193032706534
2006-11-02,956.1376096420798
2006-11-03,955.9394399961124
2006-11-06,955.795649381132
2006-11-07,955.6134923115488
2006-11-08,955.4005639535164
2006-11-09,955.204244328312
2006-11-10,954.9844887893172
2006-11-13,954.7783290062474
2006-11-14,954.5937766588188
2006-11-15,954.4560955504368
2006-11-16,954.281133763204
2006-11-17,954.1212919479104
2006-11-20,953.9285145478248
2006-11-21,953.7367722664626
2006-11-22,953.531801360452
2006-11-27,953.2964502254824
2006-11-28,953.0646134002468
2006-11-29,952.8342170162092
2006-11-30,952.5920337674744
2006-12-01,952.345301129566
2006-12-04,952.091021205944
2006-12-05,951.8059325514348
2006-12-06,951.4396459780702
2006-12-07,951.0559185086372
2006-12-08,950.7400887300932
2006-12-11,950.4833090974022
2006-12-12,950.1968083513672
2006-12-13,949.9133101784556
2006-12-14,949.6181023942858
2006-12-15,949.3457145879474
2006-12-18,949.1186591973648
2006-12-19,948.9425138685948
2006-12-20,948.7055285570656
2006-12-21,948.4861717034725
2006-12-22,948.281222027979
2006-12-26,948.0935539724736
2006-12-27,947.9138944173352
2006-12-28,947.7270158547278
2006-12-29,947.5430853131996
2007-01-03,947.3247437228308
2007-01-04,947.1601000348844
2007-01-05,947.027408973642
2007-01-08,946.9333869570528
2007-01-09,946.8473909466918
2007-01-10,946.7542229805628
2007-01-11,946.6720890361244
2007-01-12,946.6018792182412
2007-01-16,946.4891016527426
2007-01-17,946.38956394849
2007-01-18,946.2890379813176
2007-01-19,946.1865276065308
2007-01-22,946.1232936580444
2007-01-23,946.0607092012906
2007-01-24,945.9575442595744
2007-01-25,945.8534271911456
2007-01-26,945.7986188316124
2007-01-29,945.741357587036
2007-01-30,945.705779994973
2007-01-31,945.658513254409
2007-02-01,945.5685471571228
2007-02-02,945.482513052668
2007-02-05,945.3822997390928
2007-02-06,945.2550059610932
2007-02-07,945.135032800658
2007-02-08,945.031334226784
2007-02-09,944.9236771159808
2007-02-12,944.8482115823132
2007-02-13,944.7925696238066
2007-02-14,944.7254615838048
2007-02-15,944.6229440422522
2007-02-16,944.536505835458
2007-02-20,944.4719944221904
2007-02-21,944.4091409139284
2007-02-22,944.350934012503
2007-02-23,944.2853035118704
2007-02-26,944.2273513351628
2007-02-27,944.1699872980148
2007-02-28,944.14224725805
2007-03-01,944.1157898495688
2007-03-02,944.1016150057994
2007-03-05,944.170672947723
2007-03-06,944.2019960615576
2007-03-07,944.243010347161
2007-03-08,944.2766044155323
2007-03-09,944.288845793872
2007-03-12,944.281953921762
2007-03-13,944.2811340655696
2007-03-14,944.2973272589412
2007-03-15,944.296353815542
2007-03-16,944.2983904260644
2007-03-19,944.2884067958108
2007-03-20,944.2595263643248
2007-03-21,944.1929459110684
2007-03-22,944.1280370326074
2007-03-23,944.057785453575
2007-03-26,943.9972379190796
2007-03-27,943.9632855685392
2007-03-28,943.9236795375332
2007-03-29,943.886471130236
2007-03-30,943.853634229133
2007-04-02,943.784162442416
2007-04-03,943.7103953173538
2007-04-04,943.6323763289492
2007-04-05,943.5241787853496
2007-04-09,943.4160713294176
2007-04-10,943.3180397324608
2007-04-11,943.2050164522116
2007-04-12,943.087138593326
2007-04-13,942.945484210234
2007-04-16,942.8282170799592
2007-04-17,942.6841751947064
2007-04-18,942.536589397542
2007-04-19,942.3954773762932
2007-04-20,942.2448032505428
2007-04-23,942.0836653908808
2007-04-24,941.9331276953744
2007-04-25,941.7791115013569
2007-04-26,941.6475971500546
2007-04-27,941.5193983365082
2007-04-30,941.4104460424892
2007-05-01,941.301589074598
2007-05-02,941.1868402867616
2007-05-03,941.0423159689576
