Date,Price
2006-01-03,108.33
2006-01-04,108.52524934408196
2006-01-05,108.6397057835988
2006-01-06,108.85449143299996
2006-01-09,109.07531799976888
2006-01-10,109.24017665499925
2006-01-11,109.4079821570954
2006-01-12,109.4527560527384
2006-01-13,109.4623655445878
2006-01-17,109.41744656413384
2006-01-18,109.3435401793952
2006-01-19,109.29261699846936
2006-01-20,109.07605648253046
2006-01-23,108.91795738648268
2006-01-24,108.78606949460388
2006-01-25,108.68365387719908
2006-01-26,108.64390870530045
2006-01-27,108.6699173255695
2006-01-30,108.68262778648024
2006-01-31,108.6618436111906
2006-02-01,108.70547635761017
2006-02-02,108.68685124562094
2006-02-03,108.64738257851242
2006-02-06,108.62087898320266
2006-02-07,108.57453136939344
2006-02-08,108.57513667072794
2006-02-09,108.58513524283416
2006-02-10,108.60500622056992
2006-02-13,108.62070533732292
2006-02-14,108.68150468294348
2006-02-15,108.74838737657362
2006-02-16,108.82949730388948
2006-02-17,108.89796661078276
2006-02-21,108.9488030491001
2006-02-22,109.01248065814148
2006-02-23,109.06230975793416
2006-02-24,109.110065956886
2006-02-27,109.1578359207251
2006-02-28,109.17773788432513
2006-03-01,109.2113467883662
2006-03-02,109.24130653624832
2006-03-03,109.26209878839464
2006-03-06,109.27113865006442
2006-03-07,109.28507613398256
2006-03-08,109.30431376878626
2006-03-09,109.31370851823452
2006-03-10,109.34862696273784
2006-03-13,109.38570800443856
2006-03-14,109.43470134215464
2006-03-15,109.49710409774546
2006-03-16,109.56647054548206
2006-03-17,109.63180533145848
2006-03-20,109.69456045604494
2006-03-21,109.74740203880114
2006-03-22,109.81332165523015
2006-03-23,109.8714908866093
2006-03-24,109.92712282020835
2006-03-27,109.975199891812
2006-03-28,110.0025448585038
2006-03-29,110.03903313034
2006-03-30,110.06431119951598
2006-03-31,110.08682329783277
2006-04-03,110.10865416430626
2006-04-04,110.14200093709432
2006-04-05,110.18064362846584
2006-04-06,110.21490149186508
2006-04-07,110.23235449286386
2006-04-10,110.25386663318469
2006-04-11,110.26512779382202
2006-04-12,110.28201679015672
2006-04-13,110.29829263839449
2006-04-17,110.30687643669366
2006-04-18,110.3441695382017
2006-04-19,110.38399409941115
2006-04-20,110.43269569916288
2006-04-21,110.47879182546556
2006-04-24,110.52299120666632
2006-04-25,110.55834319917425
2006-04-26,110.60117288937654
2006-04-27,110.64869571828136
2006-04-28,110.69675312475933
2006-05-01,110.73515513241816
2006-05-02,110.78512879040858
2006-05-03,110.83122885412672
2006-05-04,110.88164482103193
2006-05-05,110.9495562864012
2006-05-08,111.01771119767534
2006-05-09,111.09273464270356
2006-05-10,111.1692620269818
2006-05-11,111.22515593569152
2006-05-12,111.26167613562176
2006-05-15,111.30362805682164
2006-05-16,111.34446553921336
2006-05-17,111.3532080409678
2006-05-18,111.35410702178405
2006-05-19,111.35565744021146
2006-05-22,111.35052866771976
2006-05-23,111.3375644864412
2006-05-24,111.3348357417264
2006-05-25,111.34418530987725
2006-05-26,111.36285382389777
2006-05-30,111.35596264251964
2006-05-31,111.36077460662024
2006-06-01,111.37407564321146
2006-06-02,111.38663111976318
2006-06-05,111.37780335218808
2006-06-06,111.36030174417306
2006-06-07,111.33306126168334
2006-06-08,111.3039133652795
2006-06-09,111.27314582248088
2006-06-12,111.23200007438508
2006-06-13,111.17945943024384
2006-06-14,111.14448190286087
2006-06-15,111.13477025721734
2006-06-16,111.1207122644818
2006-06-19,111.0970598330983
2006-06-20,111.08211939518895
2006-06-21,111.0776424741992
2006-06-22,111.0671235094838
2006-06-23,111.05402257827843
2006-06-26,111.04624108372948
2006-06-27,111.02506402392584
2006-06-28,111.01082690708134
2006-06-29,111.02011872994753
2006-06-30,111.02915312110883
2006-07-05,111.03430942537572
2006-07-06,111.04778342450682
2006-07-07,111.046763190955
2006-07-10,111.04795932866654
2006-07-11,111.05283447068258
2006-07-12,111.0445094665646
2006-07-13,111.01299218773224
2006-07-14,110.9707033287774
2006-07-17,110.93129903908776
2006-07-18,110.90008105902928
2006-07-19,110.89031264668536
2006-07-20,110.87365729769115
2006-07-21,110.8475161122414
2006-07-24,110.84359954405735
2006-07-25,110.84299695923686
2006-07-26,110.84374840796494
2006-07-27,110.84851754252315
2006-07-28,110.8621523831111
2006-07-31,110.87371099882664
2006-08-01,110.87755904310036
2006-08-02,110.8897828128758
2006-08-03,110.90859423483968
2006-08-04,110.92594391712734
2006-08-07,110.94152415077232
2006-08-08,110.95140366767956
2006-08-09,110.95138826369646
2006-08-10,110.95520653939194
2006-08-11,110.95624281904934
2006-08-14,110.95835701944962
2006-08-15,110.97253407619036
2006-08-16,110.99903459551426
2006-08-17,111.02574364552254
2006-08-18,111.05580107101692
2006-08-21,111.08223786882697
2006-08-22,111.10607786856838
2006-08-23,111.12768169801237
2006-08-24,111.1456819569724
2006-08-25,111.16389063259332
2006-08-28,111.1883144525772
2006-08-29,111.21319008107942
2006-08-30,111.2404378090216
2006-08-31,111.26788947034228
2006-09-01,111.30450445777775
2006-09-05,111.34099844336632
2006-09-06,111.37077765486362
2006-09-07,111.39403840697236
2006-09-08,111.42031161112678
2006-09-11,111.44722671302704
2006-09-12,111.48461958304392
2006-09-13,111.5267514798768
2006-09-14,111.56881032824914
2006-09-15,111.6112198731753
2006-09-18,111.65239638056345
2006-09-19,111.6911990530828
2006-09-20,111.73732891584837
2006-09-21,111.7754698009258
2006-09-22,111.80939431692336
2006-09-25,111.84910962928642
2006-09-26,111.89873059249706
2006-09-27,111.95186088490698
2006-09-28,112.00354834840395
