Date,resid,log_resid,diff_log_resid
2015-09-21,0.0212070405981819,-3.853422048750568,0.05385456069460082
2015-09-22,0.0217884794652605,-3.8263739137701895,0.027048134980378613
2015-09-23,0.0225834837777462,-3.7905364461674065,0.03583746760278306
2015-09-24,0.0231666373441203,-3.7650420808017273,0.025494365365679172
2015-09-25,0.0240881531503348,-3.7260351298714545,0.03900695093027284
2015-09-28,0.0243739782941813,-3.7142391791128837,0.011795950758570761
2015-09-29,0.0244160800565081,-3.712513345031104,0.0017258340817796203
2015-09-30,0.0243259170730677,-3.7162129507751898,-0.0036996057440856767
2015-10-01,0.0240804239369833,-3.72635605334004,-0.010143102564850182
2015-10-02,0.0232801964019161,-3.7601522196460637,-0.03379616630602378
2015-10-05,0.0231858536308804,-3.7642129435770917,-0.004060723931027965
2015-10-06,0.0228460951846857,-3.7789750653179603,-0.014762121740868661
2015-10-07,0.0228069646908715,-3.780689320769994,-0.0017142554520335196
2015-10-08,0.0231236566706598,-3.7668990871883468,0.013790233581647104
2015-10-09,0.023493437121425,-3.7510341682642743,0.01586491892407249
2015-10-12,0.023996420244416,-3.7298506162417926,0.021183552022481678
2015-10-13,0.0240860203210778,-3.7261236764558463,0.0037269397859462927
2015-10-14,0.0235304873624531,-3.749458364070917,-0.023334687615070848
2015-10-15,0.0230822356702894,-3.768691975903069,-0.019233611832151887
2015-10-16,0.0226550547268493,-3.787372285202775,-0.0186803092997061
2015-10-19,0.0220229927255847,-3.8156682474953545,-0.028295962292579357
2015-10-20,0.0218501635102688,-3.823546874161041,-0.007878626665686728
2015-10-21,0.0214304934999912,-3.842940441297444,-0.019393567136402723
2015-10-22,0.0209396003824015,-3.866113157656828,-0.023172716359384005
2015-10-23,0.020896967624798,-3.8681512202604873,-0.002038062603659352
2015-10-26,0.020876532833356,-3.869129581798203,-0.0009783615377156885
2015-10-27,0.0203859603902697,-3.892908831224672,-0.02377924942646903
2015-10-28,0.020524024332203,-3.8861591603543495,0.006749670870322522
2015-10-29,0.0213192148550981,-3.8481465070465664,0.03801265330778314
2015-10-30,0.0218255748337294,-3.824672839288111,0.023473667758455274
2015-11-02,0.0225199968024988,-3.7933516176956132,0.03132122159249784
2015-11-03,0.0233854788394509,-3.755640011663662,0.03771160603195112
2015-11-04,0.0242861605972665,-3.7178486136215505,0.037791398042111624
2015-11-05,0.0250484961483765,-3.686941487250322,0.03090712637122861
2015-11-06,0.026571570980066,-3.6279133948737616,0.05902809237656026
2015-11-09,0.0280348295924428,-3.574307627811178,0.0536057670625838
2015-11-10,0.0293293688725872,-3.5291659143767955,0.045141713434382336
2015-11-11,0.0305445019906985,-3.4885705771318833,0.040595337244912155
2015-11-12,0.0317577477251473,-3.4496185605728815,0.03895201655900182
2015-11-13,0.0325299217520165,-3.425594943909653,0.02402361666322861
2015-11-16,0.0329941122669186,-3.4114261495876943,0.014168794321958611
2015-11-17,0.0336741857254097,-3.391023737366784,0.020402412220910104
2015-11-18,0.0347029382303748,-3.360930920387129,0.030092816979655268
2015-11-19,0.0357830134855477,-3.330281981822386,0.030648938564743045
2015-11-20,0.0369147851103172,-3.2991431276902485,0.03113885413213735
2015-11-23,0.0377467007691736,-3.2768572039495134,0.022285923740735125
2015-11-24,0.0386060579210164,-3.254346073866322,0.0225111300831915
2015-11-25,0.0394073303035795,-3.2338034316688895,0.020542642197432404
2015-11-30,0.0397766443541429,-3.224475364213877,0.00932806745501269
2015-12-01,0.0396086464741009,-3.228707839249991,-0.004232475036114014
2015-12-02,0.0397216597140856,-3.2258586553285613,0.002849183921429521
2015-12-03,0.0414629203281004,-3.182955737211954,0.0429029181166074
2015-12-04,0.0427825008772101,-3.151626118008721,0.03132961920323307
2015-12-07,0.0437491645052244,-3.1292827633843063,0.022343354624414502
2015-12-08,0.0444664150370917,-3.1130210930207536,0.01626167036355275
2015-12-09,0.0453061156792435,-3.0943132516485528,0.01870784137220083
2015-12-10,0.0464903453824523,-3.068510614129948,0.025802637518604676
2015-12-11,0.0466522472139573,-3.065034181059998,0.0034764330699501578
2015-12-14,0.0477858379708787,-3.041025960143217,0.02400822091678112
2015-12-15,0.0494520759518221,-3.0067512409690633,0.03427471917415348
2015-12-16,0.0516796609478263,-2.962690980136388,0.044060260832675446
2015-12-17,0.0532874005538998,-2.9320553631107096,0.030635617025678297
2015-12-18,0.0548872338340934,-2.9024744924052,0.029580870705509632
2015-12-21,0.0562806163306421,-2.877405095647332,0.025069396757868123
2015-12-22,0.0579793990992678,-2.847667519473555,0.029737576173777036
2015-12-23,0.0601569349682518,-2.8107985486395797,0.03686897083397511
2015-12-24,0.0622808795304864,-2.7761008099181375,0.03469773872144222
2015-12-28,0.0642944542897872,-2.7442818988953004,0.03181891102283707
2015-12-29,0.0668313436900852,-2.705583091569929,0.038698807325371565
2015-12-30,0.0690426453240177,-2.6730309171238225,0.03255217444610636
