Date,resid,log_resid,diff_log_resid,minmax_scaled
2006-07-05,0.1250964973823153,-2.0786698604438816,0.017131664152906,0.5659119112311373
2006-07-06,0.1268220033634383,-2.0649707239304456,0.013699136513436,0.5651404966078976
2006-07-07,0.12809811330432,-2.054958798491424,0.0100119254390218,0.5643118452930276
2006-07-10,0.1292359013837454,-2.046115851746406,0.008842946745017,0.5640491329849192
2006-07-11,0.1301390084928239,-2.039152103717767,0.0069637480286397,0.5636268082370811
2006-07-12,0.1310669506760004,-2.032047012472153,0.0071050912456134,0.5636585732324203
2006-07-13,0.1247043225939486,-2.08180976295187,-0.0497627504797164,0.5508782873012713
2006-07-14,0.12535861076697,-2.076576762944006,0.0052330000078639,0.5632378457952301
2006-07-17,0.1258501848893708,-2.0726630882769745,0.0039136746670314,0.5629413450914845
2006-07-18,0.1272417021901158,-2.0616668343997624,0.0109962538772121,0.5645330599287262
2006-07-19,0.1277157964315362,-2.0579478240516225,0.0037190103481399,0.5628975968924929
2006-07-20,0.1279360464429421,-2.0562247770872744,0.0017230469643481,0.5624490308492065
2006-07-21,0.1283591043361912,-2.052923440513414,0.0033013365738603,0.5628037303046414
2006-07-24,0.128733434317869,-2.050011413208686,0.002912027304728,0.5627162382595029
2006-07-25,0.1294481884115645,-2.0444745673856857,0.0055368458230002,0.5633061310734929
2006-07-26,0.1298877983925704,-2.0410842904904847,0.0033902768952009,0.5628237184508951
2006-07-27,0.1303460728603174,-2.037562266710348,0.0035220237801367,0.5628533267991097
2006-07-28,0.1303422074175026,-2.037591922380414,-2.9655670066741635e-05,0.5620551344019263
2006-07-31,0.1303445492024705,-2.0375739561055006,1.7966274914016367e-05,0.5620658367963726
2006-08-01,0.1302975972027893,-2.037934235521832,-0.000360279416331,0.561980831142216
2006-08-02,0.1304416764604776,-2.0368290757940417,0.00110515972779,0.5623101689666937
2006-08-03,0.1305649447671331,-2.035884514960752,0.0009445608332896,0.5622740765156763
2006-08-04,0.1300208978878261,-2.040060088462653,-0.0041755735019011,0.5611233948857018
2006-08-07,0.1297128799268614,-2.0424318870631333,-0.00237179860048,0.5615287691411015
2006-08-08,0.1292845396497431,-2.045739569960896,-0.0033076828977627,0.561318441677374
2006-08-09,0.1290396279443424,-2.047635728427691,-0.0018961584667951,0.5616356628920228
2006-08-10,0.1287512414655522,-2.0498730970338888,-0.0022373686061976,0.5615589804822132
2006-08-11,0.128925101390905,-2.0485236526121877,0.0013494444217014,0.5623650686805227
2006-08-14,0.1292428029240031,-2.0460624505172587,0.0024612020949286,0.5626149213304372
2006-08-15,0.1290089450943035,-2.047873535208192,-0.0018110846909329,0.5616547820839558
2006-08-16,0.1281637421987012,-2.054446596660315,-0.0065730614521233,0.56058459157278
2006-08-17,0.1274924614095176,-2.059698042331541,-0.005251445671226,0.5608816070222596
2006-08-18,0.1265345869644434,-2.067239593446877,-0.0075415511153362,0.5603669364896663
2006-08-21,0.12540208192964,-2.0762300486114045,-0.0089904551645272,0.5600413147063585
2006-08-22,0.1240196289960777,-2.0873154275494974,-0.0110853789380929,0.5595705086406132
2006-08-23,0.1227995925166494,-2.097201581542928,-0.0098861539934302,0.5598400183885404
2006-08-24,0.1212587076433326,-2.109828936128048,-0.0126273545851205,0.5592239702619798
2006-08-25,0.1194112429608931,-2.125181920305079,-0.0153529841770305,0.5586114215091141
2006-08-28,0.1176840256243021,-2.139751995045779,-0.0145700747407002,0.5587873699212734
2006-08-29,0.1159257592433199,-2.1548052992904774,-0.0150533042446983,0.5586787705610007
2006-08-30,0.113980289099894,-2.171729748169534,-0.0169244488790565,0.558258255860247
2006-08-31,0.1117395352341759,-2.191584694310277,-0.0198549461407435,0.5575996658419076
2006-09-01,0.1096089642502498,-2.210836117208422,-0.0192514228981446,0.557735299609121
2006-09-05,0.1082061830180868,-2.223716769857822,-0.0128806526493998,0.5591670449138554
2006-09-06,0.1070128699065406,-2.2348061722528505,-0.0110894023950285,0.5595696044225437
2006-09-07,0.1057499369417044,-2.246678057351867,-0.0118718850990164,0.5593937519127641
2006-09-08,0.1043951500895835,-2.259572059693287,-0.0128940023414201,0.5591640447493347
2006-09-11,0.1035021334548891,-2.2681630533984443,-0.0085909937051571,0.5601310883203087
2006-09-12,0.1024286857565729,-2.278588471265496,-0.0104254178670517,0.5597188260540307
2006-09-13,0.1010435694593487,-2.292203474373188,-0.013615003107692,0.5590020094817746
2006-09-14,0.0999252502512771,-2.3033328699968214,-0.0111293956236333,0.5595606164799495
2006-09-15,0.0988854747178793,-2.313792919513,-0.0104600495161784,0.5597110430546293
2006-09-18,0.0979918711373101,-2.322870751330374,-0.009077831817374,0.5600216779736603
2006-09-19,0.0963659516054986,-2.33960233886822,-0.0167315875378459,0.5583015988641479
2006-09-20,0.0946886718352983,-2.357160907536697,-0.0175585686684769,0.5581157459288426
2006-09-21,0.0922525474262885,-2.3832253820656595,-0.0260644745289626,0.5562041574861952
2006-09-22,0.0896470751416699,-2.4118747047652764,-0.0286493226996169,0.5556232474726038
2006-09-25,0.0864568445717855,-2.4481098962242136,-0.0362351914589371,0.5539184250485607
2006-09-26,0.0837874618393708,-2.479471902743538,-0.0313620065193243,0.5550136081086886
2006-09-27,0.0810039708362432,-2.513257102841601,-0.0337852000980629,0.5544690277999724
2006-09-28,0.0782717682308937,-2.54756829999482,-0.0343111971532188,0.5543508170052618
2006-09-29,0.0756545614665201,-2.581577543585785,-0.0340092435909658,0.5544186770250276
2006-10-02,0.0728596702165627,-2.619220013673798,-0.0376424700880124,0.5536021580210331
