Date,resid,log_resid,diff_log_resid
2006-07-05,0.3233073840749298,-1.1291517548118197,-0.1521161421830688
2006-07-06,0.2777250683290257,-1.2811236174831426,-0.1519718626713229
2006-07-07,0.2289285452111621,-1.4743453537648568,-0.19322173628171413
2006-07-10,0.169915615002319,-1.7724533475096726,-0.2981079937448159
2006-07-11,0.1141817997989964,-2.169963365748427,-0.39751001823875454
2006-07-12,0.0511132813258295,-2.9737109070138956,-0.8037475412654684
2007-03-15,0.0520126713175076,-2.956267910902821,1.7634981707146382
2007-03-16,0.0958492135956348,-2.344979014055859,0.6112888968469621
2007-03-19,0.1300610643231972,-2.0397512132500166,0.30522780080584244
2007-03-20,0.1586318264348015,-1.8411693188235965,0.19858189442642016
2007-03-21,0.1902115515701969,-1.6596183969075156,0.1815509219160809
2007-03-22,0.2125256447569361,-1.5486926166899457,0.11092578021756982
2007-03-23,0.2344491640583236,-1.4505164989964103,0.0981761176935354
2007-03-26,0.2514663912705314,-1.3804459314912034,0.0700705675052069
2007-03-27,0.2653579524109859,-1.3266756006416291,0.05377033084957428
2007-03-28,0.2609892778541256,-1.3432759535219676,-0.016600352880338454
2007-03-29,0.2508308789623871,-1.3829763559426478,-0.03970040242068018
2007-03-30,0.2308002793748739,-1.4662025338858666,-0.08322617794321885
2007-04-02,0.209367511314147,-1.563664143900261,-0.09746161001439435
2007-04-03,0.1942659543310495,-1.6385271601287328,-0.0748630162284718
2007-04-04,0.1765190558441364,-1.7343264433140142,-0.09579928318528141
2007-04-05,0.1574825206347072,-1.848440806972293,-0.11411436365827887
2007-04-09,0.1250940197905019,-2.0786896660851304,-0.23024885911283732
2007-04-10,0.0999127243200139,-2.3034582308678617,-0.22476856478273133
2007-04-11,0.0787924547077351,-2.540938039142771,-0.23747980827490922
2007-04-12,0.0625597324168325,-2.7716334599787733,-0.23069542083600236
2007-04-13,0.0474445236165349,-3.0481941743585383,-0.27656071437976504
2007-04-16,0.0448622841419947,-3.1041578340664966,-0.055963659707958247
2007-04-17,0.0413120920142843,-3.186600037018771,-0.08244220295227445
2007-04-18,0.0320211746215309,-3.441357888091066,-0.254757851072295
2007-04-19,0.0289474779616611,-3.54227219579911,-0.10091430770804388
2007-04-20,0.0203908103809633,-3.8926709511461497,-0.3503987553470398
2007-04-23,0.0080124022153192,-4.826764660826143,-0.9340937096799933
2007-04-24,0.0071153763189495,-4.94549715791145,-0.11873249708530675
2007-04-25,0.0131262472341471,-4.333141447655675,0.6123557102557751
2007-04-26,0.0254006009516023,-3.6729824457256264,0.6601590019300483
2007-04-27,0.0370034715454946,-3.2967435451853464,0.37623890054028
2007-04-30,0.0486759120837168,-3.022570989661799,0.27417255552354725
2007-05-01,0.066138923125202,-2.7159978533088167,0.30657313635298244
2007-05-02,0.0756475949263228,-2.581669631370498,0.13432822193831884
2007-05-03,0.092583817934674,-2.3796409049263048,0.20202872644419312
2007-05-04,0.1060785377241561,-2.2435755372912145,0.13606536763509025
2007-05-07,0.1213925622142038,-2.1087256690029506,0.13484986828826395
2007-05-08,0.1317360744994427,-2.0269547935458405,0.08177087545711004
2007-05-09,0.1569230978441792,-1.8519994162846707,0.17495537726116983
2007-05-10,0.177742890096857,-1.7274172105538805,0.12458220573079015
2007-05-11,0.2006772004259623,-1.6060576299020901,0.12135958065179042
2007-05-14,0.2199834717074019,-1.5142028640547889,0.09185476584730123
2007-05-15,0.241879702436051,-1.4193147737909997,0.0948880902637892
2007-05-16,0.2710377190337663,-1.3054972831612737,0.11381749062972601
2007-05-17,0.2903815501823781,-1.2365595304795938,0.0689377526816799
2007-05-18,0.3163997383055563,-1.150748870188992,0.08581066029060169
2007-05-21,0.33436209990302,-1.0955307418053688,0.05521812838362328
2007-05-22,0.3591273320494373,-1.024078268005369,0.07145247379999975
2007-05-23,0.3777349855770361,-0.9735624256025794,0.05051584240278961
2007-05-24,0.3875125776298643,-0.9480069723158481,0.025555453286731367
2007-05-25,0.3979897096947523,-0.9213291290702574,0.026677843245590638
2007-05-29,0.4144215424551352,-0.8808716046989881,0.04045752437126937
2007-05-30,0.4326526045895671,-0.837820171862991,0.043051432835997105
2007-05-31,0.4515581535423594,-0.7950511136609313,0.04276905820205967
2007-06-01,0.453679914587086,-0.7903633635432531,0.004687750117678191
2007-06-04,0.4578226880280895,-0.7812733138710274,0.009090049672225708
2007-06-05,0.4619974182584414,-0.772195976101204,0.009077337769823335
2007-06-06,0.4597392288886628,-0.7770958439642928,-0.004899867863088714
2007-06-07,0.4483228124842402,-0.8022417424675545,-0.025145898503261765
2007-06-08,0.4437032248038652,-0.8125993526411174,-0.010357610173562848
2007-06-11,0.4354616823984801,-0.8313484718682518,-0.018749119227134403
2007-06-12,0.4280594681111521,-0.8484931488672547,-0.017144676999002906
2007-06-13,0.4312773192730729,-0.8410039636040235,0.007489185263231168
2007-06-14,0.4365965368429472,-0.8287457670027754,0.012258196601248161
2007-06-15,0.4530575134186241,-0.791736200368977,0.037009566633798396
2007-06-18,0.4612825509792106,-0.7737445148887913,0.017991685480185704
2007-06-19,0.4631767124551118,-0.7696466293431758,0.0040978855456154095
2007-06-20,0.4647260904172812,-0.7663070998206428,0.0033395295225330246
2007-06-21,0.4605568243163814,-0.7753190339041591,-0.009011934083516304
2007-06-22,0.4469207916041221,-0.8053739000611198,-0.030054866156960625
2007-06-25,0.4266133803493166,-0.8518771083422543,-0.04650320828113452
2007-06-26,0.3994076695400925,-0.9177726555305783,-0.06589554718832402
2007-06-27,0.3715958482491648,-0.9899484447389777,-0.0721757892083994
