Date,resid,log_resid,diff_log_resid,minmax_scaled
2006-08-16,0.2221312487959406,-1.5044868610135815,5.346717362069212,0.9999999999999999
2006-08-17,0.3739756814228117,-0.9835645066153464,0.5209223543982352,0.3645575886546232
2006-08-18,0.4737375572035656,-0.7471017874083802,0.2364627192069661,0.32710102114004
2006-08-21,0.5584620776408007,-0.5825685631527899,0.1645332242555902,0.31762961764152786
2006-08-22,0.6387894731252939,-0.4481803419171782,0.1343882212356117,0.31366023780285257
2006-08-23,0.7009179001393322,-0.3553645170099397,0.0928158249072385,0.3081861420888168
2006-08-24,0.803648513338447,-0.2185932778555306,0.136771239154409,0.31397402457792134
2006-08-25,0.933892034282812,-0.0683944424211924,0.1501988354343382,0.3157421196058136
2006-08-28,1.0857349518783308,0.0822571326805942,0.1506515751017867,0.31580173465070005
2006-08-29,1.2140376609525627,0.1939517143575799,0.1116945816769856,0.3106720252864872
2006-08-30,1.368667689566113,0.3138377772976511,0.1198860629400712,0.3117506485181063
2006-08-31,1.5057072097056703,0.4092626946103987,0.0954249173127475,0.3085296974961526
2006-09-01,1.6289721591892183,0.4879492387367317,0.0786865441263329,0.30632565190311206
2006-09-05,1.6894178967036937,0.5243840297816628,0.036434791044931,0.30076210106455853
2006-09-06,1.7752381105578166,0.5739345607236387,0.0495505309419759,0.30248913202495137
2006-09-07,1.8485199045574163,0.6143852672875717,0.040450706563933,0.3012909016118461
2006-09-08,1.9096336631541384,0.6469114242669431,0.0325261569793714,0.3002474269327859
2006-09-11,1.955795556104185,0.6707970447307532,0.02388562046381,0.299109673806091
2006-09-12,2.020233414795026,0.7032130566162351,0.0324160118854819,0.3002329234439415
2006-09-13,2.0958238435042595,0.7399467187972428,0.0367336621810077,0.3008014552839334
2006-09-14,2.172895730875723,0.7760607161725994,0.0361139973753565,0.30071986016899316
2006-09-15,2.247847471207562,0.8099730788431533,0.0339123626705538,0.30042995724864585
2006-09-18,2.302995501280711,0.8342106674196671,0.0242375885765138,0.29915601963427013
2006-09-19,2.300060940392082,0.8329356184067404,-0.0012750490129267,0.29579661213274033
2006-09-20,2.2647453815751297,0.8174623383004186,-0.0154732801063217,0.2939270428310016
2006-09-21,2.1895788952040856,0.7837092400442839,-0.0337530982561347,0.2915200256026262
2006-09-22,2.131285092562631,0.756725127632668,-0.0269841124116159,0.2924113400245124
2006-09-25,2.025560308278129,0.705846357731367,-0.050878769901301,0.2892649820152348
2006-09-26,1.9404398121536304,0.6629146546767068,-0.0429317030546601,0.29031142168209284
2006-09-27,1.854280473360722,0.6174967358318179,-0.0454179188448889,0.2899840462021239
2006-09-28,1.798371372311351,0.5868814621693561,-0.0306152736624617,0.2919332024621929
2006-09-29,1.757924624430466,0.5641339225932058,-0.0227475395761502,0.2929691958916036
2006-10-02,1.7407004274983051,0.554287576766377,-0.0098463458268288,0.29466797622774954
2006-10-03,1.7122246197420368,0.5377934722335224,-0.0164941045328546,0.2937926245363734
2006-10-04,1.7093939365329902,0.5361388846117416,-0.0016545876217807,0.2957466359260375
2006-10-05,1.7111680024397462,0.5371761797097281,0.0010372950979864,0.2961010928484283
2006-10-06,1.7032709375421058,0.5325504832965736,-0.0046256964131544,0.29535541157196554
2006-10-09,1.8345066693728025,0.606775600332785,0.0742251170362113,0.3057381880792899
2006-10-10,1.9592149113941124,0.6725438375875112,0.0657682372547262,0.3046246181758309
2006-10-11,2.0564776624375507,0.7209946466976951,0.0484508091101838,0.30234432481878276
2006-10-12,2.153649393762304,0.767163795644664,0.0461691489469688,0.3020438844491278
2006-10-13,2.197112781401953,0.7871441263598133,0.0199803307151493,0.2985954400413027
2006-10-16,2.2267462151836828,0.8005414236242019,0.0133972972643885,0.29772861112642557
2006-10-17,2.2116133524190587,0.7937222729109914,-0.0068191507132104,0.29506658581633605
2006-10-18,2.2282965770683534,0.8012374267916473,0.0075151538806559,0.29695407276130714
2006-10-19,2.2820202227696784,0.8250611132628783,0.023823686471231,0.29910151857249195
2006-10-20,2.354376601350399,0.8562759796233846,0.0312148663605063,0.3000747611499456
2006-10-23,2.472052132819342,0.9050486287012804,0.0487726490778956,0.3023867034869245
2006-10-24,2.575000521561749,0.945849736663931,0.0408011079626506,0.30133704114106064
2006-10-25,2.5774274961053054,0.9467918069712614,0.0009420703073304,0.29608855400861056
2006-10-26,2.525261304917425,0.926344544468913,-0.0204472625023484,0.2932720876655425
2006-10-27,2.468620787478468,0.9036596090483204,-0.0226849354205925,0.29297743936972576
2006-10-30,2.379625162292257,0.8669429804445832,-0.0367166286037372,0.29112979914933046
2006-10-31,2.270226578333092,0.8198796407558541,-0.0470633396887291,0.2897673834166086
2006-11-01,2.100813674717037,0.7423247338354974,-0.0775549069203567,0.2857523693149806
2006-11-02,1.9338535896535585,0.6595146907805335,-0.0828100430549638,0.2850603928899533
2006-11-03,1.7195901849119917,0.5420859978497943,-0.1174286929307392,0.2805019401749879
2006-11-06,1.588712860716886,0.4629241668309131,-0.0791618310188811,0.2855407756351015
2006-11-07,1.467657742000266,0.3836677572332367,-0.0792564095976764,0.2855283218860144
2006-11-08,1.3863646575290196,0.326684966833088,-0.0569827904001487,0.2884612277118457
2006-11-09,1.309556962074115,0.2696888831216061,-0.0569960837114818,0.28845947729895105
2006-11-10,1.2199121358296885,0.1987788363398832,-0.0709100467817228,0.28662733933397944
2006-11-13,1.1804235108026344,0.1658732815455574,-0.0329055547943258,0.2916316269160338
2006-11-14,1.1457450874279436,0.1360551567504626,-0.0298181247950947,0.2920381680062485
